pmid,year,first_author,title,reason
41967472,2026,Pimkhonburee S,Entomopathogenic fungal metabolites and their biotechnological applications for sucking insect pests.,"EPF metabolites for sucking pests: metabolite biotech, weak delivery transfer"
40707124,2025,Alder-Rangel A,Overview of scientific productivity in the field of fungal stress research.,Fungal stress bibliometrics: not intervention scope
40042570,2025,Saha N,Expanding the functional landscape of microbial entomopathogens in agriculture beyond pest management.,Microbial entomopathogens beyond pest management: off-pathway
40137261,2025,Song HJ,Transcription Factors in Biocontrol Fungi.,Transcription factors in biocontrol fungi: molecular only
40725320,2025,Yin Z,"Heortia vitessoides Infests Aquilaria sinensis: A Systematic Review of Climate Drivers, Management Strategies, and Molecular Mechanisms.",Heortia / Aquilaria pest review: not Bb delivery
40771584,2025,Zhao L,Beauveria bassiana as a versatile biocatalyst: advances in regioselective hydroxylation and applications in biological control.,Bb as biocatalyst / hydroxylation: industrial chemistry
38668360,2024,Al Khoury C,Computational Applications: Beauvericin from a Mycotoxin into a Humanized Drug.,Beauvericin as humanized drug: pharma
39017922,2024,Castro-Saines E,Microbial agents for the control of ticks Rhipicephalus microplus.,"Tick microbial control general: acarine focus, weak trap/autodissemination transfer"
39769619,2024,Rajput M,"Entomopathogenic Fungi as Alternatives to Chemical Acaricides: Challenges, Opportunities and Prospects for Sustainable Tick Control.",EPF vs ticks general: same
36742447,2023,Schmaltz S,Biomolecules in modern and sustainable agriculture.,Biomolecules / fermentation general agriculture
37351731,2023,Zhao Y,The role of insect intestinal microbes in controlling of Empoasca onukii Matsuda (Hemiptera: Cicadellidae) pest infestations in the production of tea garden: a review.,Tea leafhopper gut microbes: not Bb delivery
37233286,2023,Liu D,Interactions between Entomopathogenic Fungi and Insects and Prospects with Glycans.,EPF–insect glycans: pathogenesis mechanism only (optional later)
37744087,2021,Alonso-Díaz MA,Entomopathogenic Fungi for Tick Control in Cattle Livestock From Mexico.,EPF tick control Mexico: tick-general
33505087,2021,Liu C,Integration and Potential Application Ability of Culturable Functional Microorganism in Oil Tea Camellia.,Oil tea camellia microbiome: crop microbes
32772728,2020,Amobonye A,Biotechnological potential of Beauveria bassiana as a source of novel biocatalysts and metabolites.,Bb as biocatalysts/metabolites source: industrial biotech
32650377,2020,Cabrera Walsh G,Biology and Management of Pest Diabrotica Species in South America.,"Diabrotica biology/IPM: pest review, Bb incidental"
32000840,2020,Ong'wen F,Direct and indirect effects of predation and parasitism on the Anopheles gambiae mosquito.,Anopheles predation/parasitism: mosquito ecology
32700404,2020,Roberson RW,Subcellular structure and behaviour in fungal hyphae.,Fungal hyphae subcellular structure: basic mycology
29628919,2018,Bamisile BS,Fungal Endophytes: Beyond Herbivore Management.,Fungal endophytes herbivore management: endophyte pathway
30384907,2018,Bamisile BS,Prospects of endophytic fungal entomopathogens as biocontrol and plant growth promoting agents: An insight on how artificial inoculation methods affect endophytic colonization of host plants.,Endophytic EPF colonization methods: plant endophyte
29802479,2018,Boucias DG,Microbiota in insect fungal pathology.,Insect fungal pathology microbiota: pathogenesis background
29154952,2018,Mallebrera B,In vitro mechanisms of Beauvericin toxicity: A review.,Beauvericin in vitro toxicity: food/mycotoxin tox
29496575,2018,Mannino MC,Tracing the coevolution between Triatoma infestans and its fungal pathogen Beauveria bassiana.,Triatoma–Bb coevolution: evolutionary biology
29704043,2018,Zhang LB,Antioxidant enzymes and their contributions to biological control potential of fungal insect pathogens.,Antioxidant enzymes EPF: trait review kept out as narrower than Pedrini/Valero set (optional)
27131324,2016,Moonjely S,Insect Pathogenic Fungi as Endophytes.,Insect pathogenic fungi as endophytes
27131323,2016,Wang JB,Advances in Genomics of Entomopathogenic Fungi.,Genomics of EPF: genomics background
29376926,2016,Zhang W,Genome Studies on Nematophagous and Entomogenous Fungi in China.,Genome studies nematophagous/entomogenous fungi China
26466721,2012,Daniel C,Integrated Management of European Cherry Fruit Fly Rhagoletis cerasi (L.): Situation in Switzerland and Europe.,Cherry fruit fly IPM Europe: general IPM
20298710,2010,Schrank A,Metarhizium anisopliae enzymes and toxins.,Metarhizium enzymes/toxins only
15938520,2004,Samish M,Biological control of ticks.,Biological control of ticks general
11193672,2000,Bittencourt VR,Trials to control South American ticks with entomopathogenic fungi.,South American ticks with EPF
