year,first_author,title,journal,pub_types,pmid,doi,scope_tags,rationale
2026,Kolanchi P,Bioprocess and genetic advances enhancing Beauveria bassiana biocontrol efficacy.,Microbial pathogenesis,Review,41475278,10.1016/j.micpath.2025.108272,01;02b,Bb biocontrol efficacy / bioprocess and genetic advances
2026,Sandala D,Efficacy of entomopathogenic fungi against Tuta absoluta (Lepidoptera: Gelechiidae). A systematic review and meta-analysis.,Journal of invertebrate pathology,Meta-Analysis; Systematic Review,42435800,10.1016/j.jip.2026.108690,02a,Systematic review + meta-analysis of EPF efficacy (Tuta)
2026,Zhang W,Secondary metabolites as multifunctional molecular weapons: New mechanistic insights into how entomopathogenic fungi suppress insect immunity.,Journal of invertebrate pathology,Review,41985877,10.1016/j.jip.2026.108626,02b,EPF secondary metabolites vs insect immunity (virulence traits)
2025,Akbari Oghaz N,Entomopathogenic fungi as guardians of elm trees: A review of dual-action biocontrol agents targeting Scolytus spp. and their associated Ophiostoma species.,Journal of invertebrate pathology,Review,40393642,10.1016/j.jip.2025.108361,02a;02b,EPF biocontrol of bark beetles (transferable delivery ecology)
2025,de Sousa TK,Fungi-Based Bioproducts: A Review in the Context of One Health.,"Pathogens (Basel, Switzerland)",Systematic Review,40430783,10.3390/pathogens14050463,01;05,"Fungi-based bioproducts, One Health / product-safety framing"
2025,Hidalgo D,"Research advances in Ecuador on use of entomopathogenic fungi for control of the cattle tick, Rhipicephalus microplus: the case of Beauveria bassiana sensu lato strain INIAP L3B3.",Frontiers in fungal biology,Review,40248492,10.3389/ffunb.2025.1492395,01,Named Bb strain case (INIAP L3B3) as biocontrol product
2025,Huarte-Bonnet C,"Biochemistry of microsclerotia differentiation in entomopathogenic fungi: from stress to colour, and implications for insect biocontrol.",Fungal biology,Review,40441796,10.1016/j.funbio.2025.101576,02b;02c,Microsclerotia differentiation: formulation-relevant propagule traits
2025,Marčić D,Bioacaricides in Crop Protection-What Is the State of Play?,Insects,Review,39859676,10.3390/insects16010095,01,Bioacaricides market status including Bb microbial products
2023,Aristizábal LF,Establishing an Integrated Pest Management Program for Coffee Berry Borer (Hypothenemus hampei) in Hawaii and Puerto Rico Coffee Agroecosystems: Achievements and Challenges.,Insects,Review,37504609,10.3390/insects14070603,01;02a;03,Coffee berry borer IPM: Bb autodissemination pathway relevant
2023,Folgarait PJ,Control of pest ants by pathogenic fungi: state of the art.,Frontiers in fungal biology,Systematic Review,37886433,10.3389/ffunb.2023.1199110,02a;03,Systematic review: pathogenic fungi vs pest ants (social insects)
2023,Jiang Y,The Registration Situation and Use of Mycopesticides in the World.,"Journal of fungi (Basel, Switzerland)",Review,37755048,10.3390/jof9090940,01;05,Global mycopesticide registration and use
2023,Koller J,Entomopathogens and Parasitoids Allied in Biocontrol: A Systematic Review.,"Pathogens (Basel, Switzerland)",Review,37513804,10.3390/pathogens12070957,02a;03;04,Entomopathogens with parasitoids: combined biocontrol / non-target allies
2021,Mann AJ,Entomopathogenic fungi to control bark beetles: a review of ecological recommendations.,Pest management science,Review,33728813,10.1002/ps.6364,02a;03,EPF vs bark beetles: ecological recommendations for deployment
2021,Wang H,The Toxins of Beauveria bassiana and the Strategies to Improve Their Virulence to Insects.,Frontiers in microbiology,Review,34512581,10.3389/fmicb.2021.705343,02b,Bb toxins and virulence improvement strategies
2019,Hatting JL,Microbial control of phytophagous invertebrate pests in South Africa: Current status and future prospects.,Journal of invertebrate pathology,Review,29427636,10.1016/j.jip.2018.02.004,01,Microbial control status South Africa (product catalogue)
2019,Karimi J,"Microbial insecticides in Iran: History, current status, challenges and perspective.",Journal of invertebrate pathology,Review,29476767,10.1016/j.jip.2018.02.016,01,Microbial insecticides Iran (product catalogue)
2019,Kumar KK,Microbial biopesticides for insect pest management in India: Current status and future prospects.,Journal of invertebrate pathology,Review,30347206,10.1016/j.jip.2018.10.008,01,Microbial biopesticides India (product catalogue)
2019,Mascarin GM,Current status and perspectives of fungal entomopathogens used for microbial control of arthropod pests in Brazil.,Journal of invertebrate pathology,Review,29339191,10.1016/j.jip.2018.01.001,01,Fungal entomopathogens Brazil (product catalogue)
2019,Srinivasan R,Biopesticide based sustainable pest management for safer production of vegetable legumes and brassicas in Asia and Africa.,Pest management science,Review,31074055,10.1002/ps.5480,01,Biopesticide pest management Asia/Africa (products)
2018,Arena M,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana strain PPRI 5339.,EFSA journal. European Food Safety Authority,Review,32625869,10.2903/j.efsa.2018.5230,05,EFSA peer review Bb strain PPRI 5339
2018,Infante F,Pest Management Strategies Against the Coffee Berry Borer (Coleoptera: Curculionidae: Scolytinae).,Journal of agricultural and food chemistry,Review,29528640,10.1021/acs.jafc.7b04875,01;02a;03,Coffee berry borer management strategies (Bb autodissemination relevant)
2017,Arena M,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana IMI389521.,EFSA journal. European Food Safety Authority,Review,32625636,10.2903/j.efsa.2017.4831,05,EFSA peer review Bb strain IMI389521
2017,Deshayes C,Microbial Pest Control Agents: Are they a Specific And Safe Tool for Insect Pest Management?,Current medicinal chemistry,Review,28292241,10.2174/0929867324666170314144311,04;05,Microbial pest control agents: specificity and safety
2016,Aristizábal LF,Integrated Pest Management of Coffee Berry Borer: Strategies from Latin America that Could Be Useful for Coffee Farmers in Hawaii.,Insects,Review,26848690,10.3390/insects7010006,01;02a;03,CBB IPM Latin America: transferable Bb autodissemination
2016,Mascarin GM,The production and uses of Beauveria bassiana as a microbial insecticide.,World journal of microbiology & biotechnology,Review,27628337,10.1007/s11274-016-2131-3,01;02c,Production and uses of Bb as microbial insecticide
2016,Valero-Jiménez CA,Genes involved in virulence of the entomopathogenic fungus Beauveria bassiana.,Journal of invertebrate pathology,Review,26628209,10.1016/j.jip.2015.11.011,02b,Bb virulence genes
2015,Lopez-Perez M,Production of conidia of Beauveria bassiana in solid-state culture: current status and future perspectives.,Critical reviews in biotechnology,Review,24494702,10.3109/07388551.2013.857293,02c,Bb conidia production in solid-state culture
2015,Ortiz-Urquiza A,Improving mycoinsecticides for insect biological control.,Applied microbiology and biotechnology,Review,25503318,10.1007/s00253-014-6270-x,02b;02c,Improving mycoinsecticides for insect biocontrol
2013,Cuthbertson AG,Update on the Status of Bemisia tabaci in the UK and the Use of Entomopathogenic Fungi within Eradication Programmes.,Insects,Review,26464385,10.3390/insects4020198,02a,Bemisia eradication programmes using EPF
2011,Kafle L,"Efficacy of Beauveria bassiana against the red imported fire ant, Solenopsis invicta (Hymenoptera: Formicidae), in Taiwan.",Pest management science,Review,21538803,10.1002/ps.2192,02a;03,Bb efficacy vs red imported fire ant (social Hymenoptera)
2011,Madsen AM,Occupational exposure to microorganisms used as biocontrol agents in plant production.,Frontiers in bioscience (Scholar edition),Review,21196399,10.2741/s174,04,Occupational exposure to biocontrol microorganisms
2010,St Leger RJ,Genetic engineering of fungal biocontrol agents to achieve greater efficacy against insect pests.,Applied microbiology and biotechnology,Review,19862514,10.1007/s00253-009-2306-z,02b,Genetic engineering of fungal biocontrol agents
2007,Madsen AM,Human exposure to airborne fungi from genera used as biocontrol agents in plant production.,Annals of agricultural and environmental medicine : AAEM,Review,17655172,,04,Human exposure to airborne biocontrol fungi
2007,Pedrini N,Biochemistry of insect epicuticle degradation by entomopathogenic fungi.,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,Review,17052960,10.1016/j.cbpc.2006.08.003,02b,Epicuticle degradation by EPF (cuticle-breach traits)
