year,first_author,title,journal,pub_types,pmid,doi,match_basis,in_pubmed_PT_set,source_file
2026,Kolanchi P,Bioprocess and genetic advances enhancing Beauveria bassiana biocontrol efficacy.,Microbial pathogenesis,Review,41475278,10.1016/j.micpath.2025.108272,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02b_2026-08-07_pubmed.txt; 02c_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2026,Pimkhonburee S,Entomopathogenic fungal metabolites and their biotechnological applications for sucking insect pests.,Journal of economic entomology,Review,41967472,10.1093/jee/toag082,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 02b_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2026,Sandala D,Efficacy of entomopathogenic fungi against Tuta absoluta (Lepidoptera: Gelechiidae). A systematic review and meta-analysis.,Journal of invertebrate pathology,Meta-Analysis; Systematic Review,42435800,10.1016/j.jip.2026.108690,pubmed_PT,yes,01_2026-08-07_dimensions.ris; 01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_europepmc.ris; 05_2026-08-07_pubmed.txt
2026,Zhang W,Secondary metabolites as multifunctional molecular weapons: New mechanistic insights into how entomopathogenic fungi suppress insect immunity.,Journal of invertebrate pathology,Review,41985877,10.1016/j.jip.2026.108626,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2025,Akbari Oghaz N,Entomopathogenic fungi as guardians of elm trees: A review of dual-action biocontrol agents targeting Scolytus spp. and their associated Ophiostoma species.,Journal of invertebrate pathology,Review,40393642,10.1016/j.jip.2025.108361,pubmed_PT,yes,01_2026-08-07_europepmc.ris; 01_2026-08-07_pubmed.txt; 05_2026-08-07_europepmc.ris; 05_2026-08-07_pubmed.txt
2025,Alder-Rangel A,Overview of scientific productivity in the field of fungal stress research.,Fungal biology,Review,40707124,10.1016/j.funbio.2025.101598,pubmed_PT,yes,01_2026-08-07_pubmed.txt
2025,de Sousa TK,Fungi-Based Bioproducts: A Review in the Context of One Health.,"Pathogens (Basel, Switzerland)",Systematic Review,40430783,10.3390/pathogens14050463,pubmed_PT,yes,01_2026-08-07_dimensions.ris; 01_2026-08-07_europepmc.ris; 01_2026-08-07_pubmed.txt; 02c_2026-08-07_europepmc.ris; 04_2026-08-07_europepmc.ris; 04_2026-08-07_pubmed.txt; 05_2026-08-07_europepmc.ris; 05_2026-08-07_pubmed.txt
2025,Hidalgo D,"Research advances in Ecuador on use of entomopathogenic fungi for control of the cattle tick, Rhipicephalus microplus: the case of Beauveria bassiana sensu lato strain INIAP L3B3.",Frontiers in fungal biology,Review,40248492,10.3389/ffunb.2025.1492395,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2025,Huarte-Bonnet C,"Biochemistry of microsclerotia differentiation in entomopathogenic fungi: from stress to colour, and implications for insect biocontrol.",Fungal biology,Review,40441796,10.1016/j.funbio.2025.101576,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2025,Marčić D,Bioacaricides in Crop Protection-What Is the State of Play?,Insects,Review,39859676,10.3390/insects16010095,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
2025,Saha N,Expanding the functional landscape of microbial entomopathogens in agriculture beyond pest management.,Folia microbiologica,Review,40042570,10.1007/s12223-025-01251-x,pubmed_PT,yes,01_2026-08-07_pubmed.txt; 04_2026-08-07_pubmed.txt; 05_2026-08-07_pubmed.txt
