filename	records	size_kb
01_2026-08-07_dimensions_part1of3.ris	229	408.9
01_2026-08-07_dimensions_part2of3.ris	236	407.8
01_2026-08-07_dimensions_part3of3.ris	35	62.2
01_2026-08-07_europepmc_part10of25.ris	219	409.3
01_2026-08-07_europepmc_part11of25.ris	219	409.1
01_2026-08-07_europepmc_part12of25.ris	218	409.2
01_2026-08-07_europepmc_part13of25.ris	223	408.3
01_2026-08-07_europepmc_part14of25.ris	221	408.7
01_2026-08-07_europepmc_part15of25.ris	221	408.9
01_2026-08-07_europepmc_part16of25.ris	222	409.0
01_2026-08-07_europepmc_part17of25.ris	220	408.4
01_2026-08-07_europepmc_part18of25.ris	226	409.4
01_2026-08-07_europepmc_part19of25.ris	225	409.5
01_2026-08-07_europepmc_part1of25.ris	216	409.5
01_2026-08-07_europepmc_part20of25.ris	224	408.0
01_2026-08-07_europepmc_part21of25.ris	225	408.2
01_2026-08-07_europepmc_part22of25.ris	230	407.8
01_2026-08-07_europepmc_part23of25.ris	234	408.4
01_2026-08-07_europepmc_part24of25.ris	229	408.4
01_2026-08-07_europepmc_part25of25.ris	222	381.9
01_2026-08-07_europepmc_part2of25.ris	218	408.4
01_2026-08-07_europepmc_part3a-of25.ris	107	60.7
01_2026-08-07_europepmc_part3b1-of25.ris	52	17.6
01_2026-08-07_europepmc_part3b2-of25.ris	53	18.0
01_2026-08-07_europepmc_part4of25.ris	218	408.1
01_2026-08-07_europepmc_part5of25.ris	221	407.5
01_2026-08-07_europepmc_part6of25.ris	216	408.4
01_2026-08-07_europepmc_part7of25.ris	218	408.7
01_2026-08-07_europepmc_part8of25.ris	219	407.8
01_2026-08-07_europepmc_part9of25.ris	214	409.4
01_2026-08-07_pubmed_part1of3.nbib	857	2556.5
01_2026-08-07_pubmed_part2of3.nbib	864	2557.4
01_2026-08-07_pubmed_part3of3.nbib	66	208.7
02a_2026-08-07_europepmc_part1of3.ris	213	408.8
02a_2026-08-07_europepmc_part2of3.ris	218	409.6
02a_2026-08-07_europepmc_part3of3.ris	177	334.2
02a_2026-08-07_pubmed.nbib	39	118.6
02b_2026-08-07_europepmc_part10of10.ris	198	358.9
02b_2026-08-07_europepmc_part1of10.ris	216	409.5
02b_2026-08-07_europepmc_part2of10.ris	215	408.4
02b_2026-08-07_europepmc_part3of10.ris	219	408.5
02b_2026-08-07_europepmc_part4of10.ris	214	408.4
02b_2026-08-07_europepmc_part5of10.ris	215	408.9
02b_2026-08-07_europepmc_part6of10.ris	218	407.9
02b_2026-08-07_europepmc_part7of10.ris	215	408.9
02b_2026-08-07_europepmc_part8of10.ris	221	408.5
02b_2026-08-07_europepmc_part9of10.ris	218	409.6
02b_2026-08-07_pubmed.nbib	188	583.0
02c_2026-08-07_europepmc_part1of9.ris	222	409.0
02c_2026-08-07_europepmc_part2of9.ris	218	408.8
02c_2026-08-07_europepmc_part3of9.ris	213	407.8
02c_2026-08-07_europepmc_part4of9.ris	220	407.9
02c_2026-08-07_europepmc_part5of9.ris	216	408.6
02c_2026-08-07_europepmc_part6of9.ris	220	408.8
02c_2026-08-07_europepmc_part7of9.ris	220	408.5
02c_2026-08-07_europepmc_part8of9.ris	223	408.0
02c_2026-08-07_europepmc_part9of9.ris	100	175.2
02c_2026-08-07_pubmed.nbib	62	189.3
03_2026-08-07_europepmc_part1of2.ris	217	408.5
03_2026-08-07_europepmc_part2of2.ris	119	212.2
03_2026-08-07_pubmed.nbib	22	63.6
04_2026-08-07_europepmc_part10of13.ris	223	409.2
04_2026-08-07_europepmc_part11of13.ris	223	408.8
04_2026-08-07_europepmc_part12of13.ris	223	409.1
04_2026-08-07_europepmc_part13of13.ris	42	65.5
04_2026-08-07_europepmc_part1of13.ris	217	407.9
04_2026-08-07_europepmc_part2a-of13.ris	109	37.1
04_2026-08-07_europepmc_part2b-of13.ris	110	37.7
04_2026-08-07_europepmc_part3of13.ris	218	407.9
04_2026-08-07_europepmc_part4of13.ris	218	409.4
04_2026-08-07_europepmc_part5of13.ris	219	408.2
04_2026-08-07_europepmc_part6of13.ris	219	409.1
04_2026-08-07_europepmc_part7of13.ris	221	409.3
04_2026-08-07_europepmc_part8of13.ris	219	408.5
04_2026-08-07_europepmc_part9of13.ris	222	407.9
04_2026-08-07_pubmed.nbib	628	1876.3
05_2026-08-07_europepmc_part10of13.ris	219	408.3
05_2026-08-07_europepmc_part11of13.ris	220	407.9
05_2026-08-07_europepmc_part12of13.ris	220	409.4
05_2026-08-07_europepmc_part13of13.ris	208	370.6
05_2026-08-07_europepmc_part1of13.ris	215	408.6
05_2026-08-07_europepmc_part2of13.ris	220	408.3
05_2026-08-07_europepmc_part3of13.ris	218	408.2
05_2026-08-07_europepmc_part4of13.ris	215	408.6
05_2026-08-07_europepmc_part5of13.ris	214	409.2
05_2026-08-07_europepmc_part6of13.ris	217	407.7
05_2026-08-07_europepmc_part7of13.ris	216	408.7
05_2026-08-07_europepmc_part8of13.ris	221	408.5
05_2026-08-07_europepmc_part9of13.ris	217	409.4
05_2026-08-07_pubmed.nbib	750	2302.0
06_2026-08-07_europepmc_part1of2.ris	227	408.9
06_2026-08-07_europepmc_part2of2.ris	43	78.7
