,type_of_reference,accession_number,title,publication_year,access_date,secondary_title,issn,alternate_title1,volume,number,start_page,authors,urls,language,doi,publisher,abstract,place_published,keywords,asreview_label,asreview_time,asreview_note,asreview_tag_existingproducts_commercialavailable,asreview_tag_existingproducts_experimental,asreview_tag_efficacymechanicsdelivery_efficacy,asreview_tag_efficacymechanicsdelivery_strainstraits,asreview_tag_efficacymechanicsdelivery_formulationdelivery_,asreview_tag_autodisseminationsocial_horizontalsporetransfer_,asreview_tag_nontargetecotox_apis,asreview_tag_nontargetecotox_bombus,asreview_tag_nontargetecotox_otherinsect,asreview_tag_nontargetecotox_othernoninstect,asreview_tag_nontargetecotox_human,asreview_tag_regulatorypolicy_euapproval,asreview_tag_regulatorypolicy_notallowed_,asreview_tag_regulatorypolicy_approvalpathways,asreview_tag_backgroundproxies_otherfungus,asreview_tag_backgroundproxies_generalbiology,asreview_tag_backgroundproxies_trapsbaits,asreview_tag_seedpaper_metaanalysis,asreview_tag_seedpaper_review,asreview_tag_seedpaper_vespavelutina,asreview_tag_seedpaper_vespideae,asreview_tag_nontargetecotox_apis-bombus,asreview_tag_nontargetecotox_othervespideae
3941,JOUR,rayyan-628422880,"Evaluation of Beauveria bassiana applications against adult house fly, Musca domestica, in commercial caged-layer poultry facilities in New York state",2005,6,Biological Control.,1049-9644,Biol Control,33,3,360-367,"Kaufman, PE;Reasor, C;Rutz, DA;Ketzis, JK;Arends, JJ","[""http://europepmc.org/abstract/AGR/IND43710387"", ""https://doi.org/10.1016/j.biocontrol.2005.03.011""]",eng,10.1016/j.biocontrol.2005.03.011,,"Applications of a commercially produced Beauveria bassiana product, balEnce, were compared with pyrethrin treatments for the control of adult house flies in New York high-rise, caged-layer poultry facilities. An integrated fly management program, which included the release of house fly pupal hymenopteran parasitoids, was used at all facilities. Adult house fly populations were lower in B. bassiana-treated facilities during the spray and post-spray periods, as recorded on spot cards. Concurrently, the numbers of house fly larvae recovered in B. bassiana-treated facilities were less than one-half that of the pyrethrin-treated facilities. House fly pupal parasitism levels were low, but similar under both treatment regimes. The numbers of adult and larval Carcinops pumilio, a predatory beetle, recovered from B. bassiana-treated facilities were 43 and 66% greater than from the pyrethrin-treated facilities, respectively.",,,1,2026-08-07 17:46:56,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
3126,JOUR,rayyan-628422041,Biological compatibility of ten commercial pesticides with Beauveria bassiana conidia,2002,,Acta Phytophylacica Sinica,0577-7518,,29,2,158-162,Xu Shoutao;Ying Shenghua;Feng Mingguang,http://europepmc.org/abstract/CBA/391884,chi,,,"The compatibility of B. bassiana conidia with 10 widely used pesticides was investigated using 24h liquid culture containing 0.1 - 1.0 fold of the concentration recommended for field spray. The results showed that negative effects of the pesticides on the germination of B. bassiana conidia increased with the increasing pesticide concentrations. Two fungicides, chlorothalonil 75% WP and mancozeb 70% WP, killed almost all the conidia of B. bassiana at all concentrations. Five insecticides, including imidacloprid 10% WP, yashiling 22% WP (a mixture of imidacloprid and buprofezin), methomyl 20% EC, triazophos 20% EC, and fipronil 5% FF, exhibited high compatibility with B. bassiana conidia with germination rates exceeding 90% even at the highest concentration. The other two insecticides, chlorfluazuron 5% EC and fenvalerate 20% EC, greatly reduced the germination rate of B. bassiana at the field-spray concentrations recommended but at lower concentration tested the germination rates increased by a big margin. However, abamectin 0.5% EC (a microbial toxin-based insecticide) was highly incompatible with B. bassiana conidai at all the concentrations tested. The results indicate that the compatibility of B. bassiana with commercial pesticides must be taken into consideration when the fungal insecticide was applied. Also, it is possible to choose compatible insecticides at lower rates for enhancing the efficacy of B bassiana against insect pests and reducing the input of chemical inse",,,1,2026-08-07 17:51:13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
1762,JOUR,rayyan-628420533,UV-induced mutagenesis of Beauveria bassiana (Hypocreales: Clavicipitaceae) yields two hypervirulent isolates with different transcriptomic profiles,2023,8,Pest management science,1526-498X,Pest Manag Sci,79,8,2762-2779,"Sun, Yan-Xia;Zhang, Bang-Xian;Zhang, Wen-Ting;Wang, Qian;Toufeeq, Shahzad;Rao, Xiang-Jun","[""http://europepmc.org/abstract/MED/36914429"", ""https://doi.org/10.1002/ps.7452""]",eng,10.1002/ps.7452,,"BackgroundThe fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae) can infest over 300 plant species and cause huge economic losses. Beauveria bassiana (Hypocreales: Clavicipitaceae) is one of the most widely used entomopathogenic fungi (EPF). Unfortunately, the efficacy of B. bassiana against S. frugiperda is quite low. Hypervirulent EPF isolates can be obtained by ultraviolet (UV)-irradiation. Here we report on the UV-induced mutagenesis and transcriptomic analysis of B. bassiana.ResultsThe wild-type (WT) B. bassiana (ARSEF2860) was exposed to UV light to induce mutagenesis. Two mutants (named 6M and 8M) showed higher growth rates, conidial yields, and germination rates compared to the WT strain. The mutants showed higher levels of tolerance to osmotic, oxidative, and UV stresses. The mutants showed higher protease, chitinase, cellulose, and chitinase activities than WT. Both WT and mutants were compatible with the insecticides matrine, spinetoram, and chlorantraniliprole, but incompatible with emamectin benzoate. Insect bioassays showed that both mutants were more virulent against S. frugiperda and the greater wax moth Galleria mellonella. Transcriptomic profiles of the WT and mutants were determined by RNA-sequencing. The differentially expressed genes (DEGs) were identified. The gene set enrichment analysis (GSEA), protein-protein interaction (PPI) network, and hub gene analysis revealed virulence-related genes.ConclusionOur data demon",,,1,2026-08-07 17:56:50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
4483,JOUR,rayyan-628423434,Effects of bait substrate and formulation on infection of grasshopper nymphs by Beauveria bassiana,1996,3,Biocontrol science and technology.,0958-3157,Biocontrol science and technology.,6,1,35-50,"Inglis, GD;Johnson, DL;Goettel, MS","[""http://europepmc.org/abstract/AGR/IND20620937"", ""https://doi.org/10.1080/09583159650039511""]",eng,10.1080/09583159650039511,,"The effects of two formulations (oil and water) and two bait substrates (lettuce and bran) on infection of grasshopper nymphs (Melanoplus sanguinipes) by Beauveria bassiana were investigated. More nymphs died of mycosis after they had ingested substrates inoculated with conidia in oil than in water, but there was no difference between the lettuce and bran substrates. Of the conidia recovered in frass, most (95%) were recovered within 24 h of ingestion of the lettuce and bran substrates by nymphs. Significantly more conidia averaged over time were recovered in frass from the water than from the oil formulation. A higher incidence (33-82%) with more rapid onset of mycosis was observed in nymphs that were surface-sterilized before ingestion, compared with those surface-sterilized after ingestion of lettuce and bran substrates inoculated with B. bassiana in both formulations. A similar trend was observed in nymphs receiving the sterilization treatment before, rather than after, ingestion of wheat leaves sprayed with conidia in oil or water. Numerous conidia were observed on the heads, thoraxes and abdomens of nymphs that ingested treated lettuce or bran. Modest numbers of conidia were also recovered from the surfaces of nymphs, but no differences were observed between formulations or substrates. However, when nymphs ingested lettuce disks treated with fluorescent dye in either oil or water, more dye was observed on nymphs with the oil formulation. This laboratory study demonstrat",,,1,2026-08-07 18:02:23,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
4979,JOUR,rayyan-628424087,Susceptibility of the adult house fly (Diptera: Muscidae) and 3 of its principal parasitoids (Hymenoptera: Pteromalidae) to the GHA strain of Beauveria bassiana and 4 isolates from field-collected muscid flies.,2023,11,Journal of medical entomology,1938-2928 (Electronic),J Med Entomol,60,6,1364-1373,Pagac AA;Geden CJ;Martin GP;Patterson PH;Machtinger ET,https://pubmed.ncbi.nlm.nih.gov/37643752/,eng,10.1093/jme/tjad108,,"House fly (Musca domestica L.) (Diptera: Muscidae) populations can negatively impact poultry layer facilities, posing a risk to human and animal health and egg food safety. House flies quickly develop resistance to traditional chemical control methods; therefore, improved biological control may provide opportunities for improved integrated pest management (IPM) programs. Biological control methods currently used include augmentative releases of pteromalid pupal parasitoids and application of the fungal entomopathogen Beauveria bassiana (Balsamo) Vuillemin. This study used bioassays to compare the impact of different B. bassiana strains on survival of house flies and of 3 species of filth fly parasitoids. The B. bassiana that were compared were 3 new field-collected isolates, an older field-collected isolate (L90), and a common commercially available strain (GHA). Flies and parasitoids were exposed to filter paper treated with 1.5 109 spores of each strain and a control. All field-isolated strains induced lower mean survival times in house flies than GHA did. The results for all species of parasitoids demonstrated less difference among the treatment groups and the control than in-house flies. Although there was some effect of B. bassiana exposure on parasitoid mortality, the expected spatial separation of parasitoids from areas of application may offer some protection. Using the most effective tested strains of B. bassiana and filth fly parasitoids jointly could be a biolog",England,"Humans;Animals;*Muscidae;*Hymenoptera;*Beauveria;*Houseflies/microbiology;Pest Control, Biological/methods",1,2026-08-07 18:03:58,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
129,JOUR,rayyan-628415306,Efficacy of Beauveria bassiana for Red Flour Beetle When Applied with Plant Essential Oils or in Mineral Oil and Organosilicone Carriers,2005,,Journal of Economic Entomology,,,98,3,683-688,"Akbar, Waseem;Lord, Jeffrey C;Nechols, James R;Loughin, Thomas M",https://app.dimensions.ai/details/publication/pub.1016655442,,10.1603/0022-0493-98.3.683,,"The carriers mineral oil and Silwet L-77 and the botanical insecticides Neemix 4.5 and Hexacide were evaluated for their impacts on the efficacy of Beauveria bassiana (Balsamo) Vuillemin conidia against red flour beetle, Tribolium castaneum (Herbst), larvae. The dosages of liquid treatments were quantified by both conidia concentration in the spray volume and conidia deposition on the target surface. The latter approach allowed comparison with dry, unformulated conidia. The median lethal concentrations of B. bassiana in 0.05% Silwet L-77 solution or without a carrier were approximately double that for conidia in mineral oil. Carriers had highly significant effects on the efficacy of B. bassiana. The lower efficacy of conidia in aqueous Silwet L-77 may have been the result of conidia loss from the larval surface because of the siloxane's spreading properties. Neemix 4.5 (4.5% azadirachtin) delayed pupation and did not reduce the germination rate of B. bassiana conidia, but it significantly reduced T. castaneum mortality at two of four tested fungus doses. Hexacide (5% rosemary oil) caused significant mortality when applied without B. bassiana, but it did not affect pupation, the germination rate of conidia, or T. castaneum mortality when used in combination with the fungus.",,,1,2026-08-07 18:06:04,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
1204,JOUR,rayyan-628419927,Delivering Beauveria bassiana with electrostatic powder for the control of stored-product beetles,2017,8,Pest management science,1526-498X,Pest Manag Sci,73,8,1725-1736,"Athanassiou, Christos G;Rumbos, Christos I;Sakka, Maria;Potin, Olivier;Storm, Clare;Dillon, Aoife B","[""http://europepmc.org/abstract/MED/28066976"", ""https://doi.org/10.1002/ps.4522""]",eng,10.1002/ps.4522,,"BackgroundThe efficacy of a Beauveria bassiana-based formulation (Bb38) with Entostat, an electrostatically charged powder, was investigated as a surface treatment against Cryptolestes ferrugineus, Oryzaephilus surinamensis and Sitophilus granarius adults. In lab bioassays, the efficacy of Bb38 against the aforementioned species was examined on concrete, plywood, steel and ceramic, whereas its residual efficacy against the same species was assessed on concrete and steel in the presence or absence of illumination. Finally, the efficacy of Bb38 against O. surinamensis and S. granarius adults was assessed in a commercial grain storage facility under realistic field conditions.ResultsIn the lab trials, O. surinamensis and C. ferrugineus were much more susceptible to Bb38 than S. granarius on all types of surfaces. Moreover, Bb38 was, at least for O. surinamensis and C. ferrugineus, as effective as the chemical standard (deltamethrin) for at least 2 months after the application, regardless of the presence or absence of illumination. Finally, in the field trial Bb38 provided a satisfactory level of control against O. surinamensis.ConclusionBb38 is an effective surface treatment, but its efficacy varies according to the target species, the type of surface and the time post-application. This is the first published report that examines the efficacy of Bb38 as a surface treatment for wider uses in empty warehouses and related storage facilities. 2017 Societ",,,1,2026-08-07 18:06:50,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
412,JOUR,rayyan-628415753,Conclusion on the peer review of the pesticide risk assessment of the active substances Beauveria bassiana strains ATCC-74040 and GHA,2013,1,EFSA Journal,,,11,1,3031,"Authority, European Food Safety",https://app.dimensions.ai/details/publication/pub.1009204038,,10.2903/j.efsa.2013.3031,,"The conclusions of the European Food Safety Authority (EFSA) following the peer review of the initial risk assessments carried out by the competent authority of the rapporteur Member State Germany, for the pesticide active substances Beauveria bassiana strains ATCC-74040 and GHA are reported. The context of the peer review was that required by Commission Regulation (EC) No 2229/2004, as amended by Commission Regulation (EC) No 1095/2007 and Commission Regulation (EU) No 114/2010. The conclusions were reached on the basis of the evaluation of the representative uses of Beauveria bassiana strains ATCC-74040 and GHA as an insecticide on tomatoes for strain ATCC-74040 and on tomatoes, cucumbers and ornamentals for strain GHA. The reliable endpoints concluded as being appropriate for use in regulatory risk assessment, derived from the available studies and literature in the dossier peer reviewed, are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are identified.",,,1,2026-08-07 18:08:38,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,
6206,JOUR,rayyan-628435603,Peer review of the pesticide risk assessment of the active substance Beauveria bassiana strain PPRI 5339.,2018,4,EFSA journal. European Food Safety Authority,1831-4732 (Electronic),EFSA J,16,4,e05230,Arena M;Auteri D;Barmaz S;Brancato A;Brocca D;Bura L;Carrasco Cabrera L;Chiusolo A;Court Marques D;Crivellente F;De Lentdecker C;Egsmose M;Fait G;Ferreira L;Goumenou M;Greco L;Ippolito A;Istace F;Jarrah S;Kardassi D;Leuschner R;Lythgo C;Magrans JO;Medina P;Miron I;Molnar T;Nougadere A;Padovani L;Parra Morte JM;Pedersen R;Reich H;Sacchi A;Santos M;Serafimova R;Sharp R;Stanek A;Streissl F;Sturma J;Szentes C;Tarazona J;Terron A;Theobald A;Vagenende B;Villamar-Bouza L,https://pubmed.ncbi.nlm.nih.gov/32625869/,eng,10.2903/j.efsa.2018.5230,,"The conclusions of EFSA following the peer review of the initial risk assessments carried out by the competent authority of the rapporteur Member State, the Netherlands, for the pesticide active substance Beauveria bassiana strain PPRI 5339 are reported. The context of the peer review was that required by Regulation (EC) No 1107/2009 of the European Parliament and of the Council. The conclusions were reached on the basis of the evaluation of the representative uses of Beauveria bassiana strain PPRI 5339 as an insecticide in protected Solanaceae (tomato, sweet pepper, aubergine, edible and processed fruits), in protected Cucurbitaceae (cucumber, edible and processed fruits) and in protected ornamentals. The reliable endpoints, appropriate for use in regulatory risk assessment are presented. Missing information identified as being required by the regulatory framework is listed. Concerns are identified.",United States,,1,2026-08-07 18:09:10,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,
1355,JOUR,rayyan-628420086,Pathogenicity of three formulations of Beauveria bassiana and efficacy of autoinoculation devices and sterile fruit fly males for dissemination of conidia for the control of Ceratitis capitata,2017,9,Entomologia Experimentalis et Applicata.,0013-8703,Entomol Exp Appl,164,3,340-349,"Toledo, Jorge;Flores, Salvador;Campos, Sergio;Villasenor, Antonio;Enkerlin, Walther;Liedo, Pablo;Valle, Alvaro;Montoya, Pablo","[""http://europepmc.org/abstract/AGR/IND605836419"", ""https://doi.org/10.1111/eea.12608""]",eng,10.1111/eea.12608,,"This study reports the pathogenicity of three formulations of Beauveria bassiana (Balsamo) Vuillemin (Hypocreales) - Bb-ET, GHA, and Bb-AES - and their application in panel-type and cylinder-type autoinoculation devices, and using sterile males as vectors for the control of Ceratitis capitata (Wiedemann) (Diptera: Tephritidae) in coffee-producing areas of the Central Highlands of Guatemala. Using sterile adults of C. capitata under laboratory bioassays, mean lethal concentrations (LC50) of 1.4 107, 2.4 106, and 8.2 105 conidia ml1, and median survival times of 4.1 0.1, 4.2 0.1, and 3.8 0.1 days, were recorded for the strains GHA, Bb-AES, and Bb-ET, respectively. These values indicate that the three strains were sufficiently pathogenic and that their period of biological activity was considered adequate for using sterile flies as vectors of the inoculum. Observed percentages of sporulated wild C. capitata flies were 57.3, 44.7, and 44.3% for sterile fly vectors, panel devices, and cylinder devices, respectively. The total population reduction at the end of the study period was over 90% for the three treatments. Our results show that sterile males used as vectors or disseminator devices may represent a new control method for area-wide integrated management of Mediterranean fruit flies. The potential of this new approach and its integration with other control methods, including the sterile insect technique, is discussed.",,,1,2026-08-07 18:10:30,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
