strain,status,n_abstracts,products_mentioned,example_title,example_year,doi,article_link,example_class,inferred,evidence
ANT-03,commercial,3,"BioCeres, BotaniGard, Velifer",PSXI-4 Beauveria bassiana to control the mealworm Alphitobius diaperinus in chicken barns,2020,,http://europepmc.org/abstract/PMC/PMC7702525,commercial,True,abstract
ANT-03,commercial,3,"BioCeres, BotaniGard, Velifer",Will the application of biocontrol fungi disrupt predation of Acanthococcus lagerstroemiae by coccin,2022,10.1016/j.jip.2022.107789,https://doi.org/10.1016/j.jip.2022.107789,commercial,False,abstract
ANT-03,commercial,3,"BioCeres, BotaniGard, Velifer","Evaluation of Spore Acquisition, Spore Production, and Host Survival Time for Tea Shot-Hole Borer, E",2023,10.3390/insects14090726,https://doi.org/10.3390/insects14090726,commercial,True,full-text
ATCC 74040,commercial,21,"Botanigard, Met52, Mycotal, NATURALIS, Naturalis",The entomopathogenic fungus Beauveria bassiana and its compatibility with triflumuron: effects on th,2003,10.1016/s1049-9644(02)00123-8,https://doi.org/10.1016/s1049-9644(02)00123-8,commercial,True,abstract
ATCC 74040,commercial,21,"Botanigard, Met52, Mycotal, NATURALIS, Naturalis",Compatibility among entomopathogenic hyphocreales and two beneficial insects used to control Trialeu,2011,10.1016/j.jip.2011.05.018,https://doi.org/10.1016/j.jip.2011.05.018,commercial,True,full-text
ATCC 74040,commercial,21,"Botanigard, Met52, Mycotal, NATURALIS, Naturalis","Biological control of the red flour beetle, Tribolium castaneum, using entomopathogenic fungi",2019,,http://europepmc.org/theses/ETH/820217,commercial,True,abstract
GHA,commercial,53,"Aprehend, BioCeres, BotaniGard, Botanigard, MET52, Met52, Mycotrol, Naturalis, Velifer",Effects of four commercial fungal formulations on mortality and sporulation in house flies (Musca do,2016,10.1111/mve.12201,https://doi.org/10.1111/mve.12201,commercial,True,full-text
GHA,commercial,53,"Aprehend, BioCeres, BotaniGard, Botanigard, MET52, Met52, Mycotrol, Naturalis, Velifer",Oviposition Deterrence and Immature Survival of Filth Flies (Diptera: Muscidae) When Exposed to Comm,2016,10.1093/jisesa/iew032,https://doi.org/10.1093/jisesa/iew032,commercial,True,abstract
GHA,commercial,53,"Aprehend, BioCeres, BotaniGard, Botanigard, MET52, Met52, Mycotrol, Naturalis, Velifer",Larval Mortality and Ovipositional Preference in Aedes albopictus (Diptera: Culicidae) Induced by th,2022,10.1093/jme/tjac084,https://doi.org/10.1093/jme/tjac084,commercial,True,full-text
PPRI 5339,commercial,3,"Botanigard, BroadBand, Met52, Velifer",Investigation of native isolates of entomopathogenic fungi for the biological control of three citru,2011,10.1080/09583157.2011.608907,https://doi.org/10.1080/09583157.2011.608907,commercial,True,full-text
PPRI 5339,commercial,3,"Botanigard, BroadBand, Met52, Velifer","Potential of two entomopathogenic fungi, Beauveria bassiana and Metarhizium anisopliae (Coleoptera: ",2015,10.1093/jisesa/iev029,https://doi.org/10.1093/jisesa/iev029,commercial,False,full-text
PPRI 5339,commercial,3,"Botanigard, BroadBand, Met52, Velifer",Dual Action of Beauveria bassiana (Hypocreales; Cordycipitaceae) Endophytic Stains as Biocontrol Age,2022,10.3390/microorganisms10112306,https://doi.org/10.3390/microorganisms10112306,commercial,False,full-text
AP0101,experimental,1,"Botanigard, Velifer",Dual Action of Beauveria bassiana (Hypocreales; Cordycipitaceae) Endophytic Stains as Biocontrol Age,2022,10.3390/microorganisms10112306,https://doi.org/10.3390/microorganisms10112306,experimental,False,full-text
GxABT-1,experimental,1,BotaniGard,A New Isolate Beauveria bassiana GxABT-1: Efficacy against Myzus persicae and Promising Impact on th,2024,10.3390/insects15090697,https://doi.org/10.3390/insects15090697,experimental,False,full-text
AL1,unknown,1,Naturalis,Effects of entomopathogenic fungi on Encarsia formosa Gahan. (Hymenoptera: Aphelinidae) activity and,2016,10.1016/j.biocontrol.2016.05.011,https://doi.org/10.1016/j.biocontrol.2016.05.011,unknown,False,abstract
ARSEF 2879,unknown,1,Mycotrol,Mycoinsecticides for aphid management : a biorational approach,2000,,http://europepmc.org/theses/ETH/523877,unknown,False,abstract
ARSEF 7152,unknown,1,"BotaniGard, Mycotrol",Susceptibility of Agrilus planipennis (Coleoptera: Buprestidae) to Beauveria bassiana and Metarhiziu,2006,10.1603/0022-0493-99.4.1096,https://doi.org/10.1603/0022-0493-99.4.1096,unknown,False,abstract
ARSEF 7234,unknown,1,"BotaniGard, Mycotrol",Susceptibility of Agrilus planipennis (Coleoptera: Buprestidae) to Beauveria bassiana and Metarhiziu,2006,10.1603/0022-0493-99.4.1096,https://doi.org/10.1603/0022-0493-99.4.1096,unknown,False,abstract
ARSEF 7404,unknown,1,BotaniGard,Laboratory and field bioassays on the effects of Beauveria bassiana Vuillemin (Hypocreales: Cordycip,2013,10.1016/j.biocontrol.2013.02.001,https://doi.org/10.1016/j.biocontrol.2013.02.001,unknown,False,abstract
BIPESCO5,unknown,2,NATURALIS,Compatibility of endophytic fungal entomopathogens with plant extracts for the management of sweetpo,2018,10.1016/j.biocontrol.2017.11.009,https://doi.org/10.1016/j.biocontrol.2017.11.009,unknown,False,full-text
BIPESCO5,unknown,2,NATURALIS,Fungal entomopathogens as endophytes reduce several species of Fusarium causing crown and root rot i,2018,10.1016/j.biocontrol.2018.08.007,https://doi.org/10.1016/j.biocontrol.2018.08.007,unknown,False,abstract
Bb-18,unknown,1,Botanigard,Pathogenicity of Beauveria bassiana against Immature Stages of Diaphorina citri1 under Laboratory Co,2020,,http://europepmc.org/abstract/AGR/IND607115348,unknown,False,abstract
Bb25,unknown,1,Mycotrol,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermes,2019,,http://europepmc.org/abstract/AGR/IND606486035,unknown,False,abstract
CHG20,unknown,1,Mycotrol,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermes,2019,,http://europepmc.org/abstract/AGR/IND606486035,unknown,False,abstract
EA2,unknown,1,Broadband,"Control of the Banded Fruit Weevil, Phlyctinus callosus (Schonherr) (Coleoptera: Curculionidae), Usi",2020,,http://europepmc.org/abstract/AGR/IND606976509,unknown,False,abstract
ECS1/BRIP,unknown,1,Velifer,Response of the macadamia seed weevil Kuschelorhynchus macadamiae (Coleoptera: Curculionidae) to Met,2020,10.1016/j.jip.2020.107437,https://doi.org/10.1016/j.jip.2020.107437,unknown,False,abstract
F52,unknown,3,"BroadBand, Met52, Mycotrol",Evaluation of organically acceptable insecticides as stand-alone treatments and in rotation for mana,2012,10.1002/ps.2297,https://doi.org/10.1002/ps.2297,unknown,False,abstract
F52,unknown,3,"BroadBand, Met52, Mycotrol","Potential of two entomopathogenic fungi, Beauveria bassiana and Metarhizium anisopliae (Coleoptera: ",2015,10.1093/jisesa/iev029,https://doi.org/10.1093/jisesa/iev029,unknown,False,full-text
F52,unknown,3,"BroadBand, Met52, Mycotrol","Evaluation of spray applications of Metarhizium anisopliae, Metarhizium brunneum and Beauveria bassi",2020,10.1007/s10493-020-00547-6,https://doi.org/10.1007/s10493-020-00547-6,unknown,False,full-text
KRL-AG2,unknown,1,Naturalis,"Granulate ambrosia beetle, Xylosandrus crassiusculus (Coleoptera: Curculionidae), survival and brood",2013,10.1016/j.biocontrol.2013.07.015,https://doi.org/10.1016/j.biocontrol.2013.07.015,unknown,False,full-text
La90,unknown,1,Mycotrol,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermes,2019,,http://europepmc.org/abstract/AGR/IND606486035,unknown,False,abstract
Ma42,unknown,1,Mycotrol,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermes,2019,,http://europepmc.org/abstract/AGR/IND606486035,unknown,False,abstract
P10,unknown,1,Mycotrol,Laboratory Evaluation of Entomopathogenic Fungi for the Control of Khapra Beetle (Coleoptera: Dermes,2019,,http://europepmc.org/abstract/AGR/IND606486035,unknown,False,abstract
SC4,unknown,1,"Met52, Naturalis",Entomopathogenic fungi and chemical insecticides have synergistic action against adult large pine we,2025,,http://europepmc.org/abstract/AGR/IND609406866,unknown,False,abstract
