record_index,accession_number,title,year,doi,article_link,urls,abstract
3177,rayyan-628422093,"Sweetpotato whitefly control by Naturalis-L, the fungus Beauveria bassiana, in furrow and sub-drip irrigated upland cotton",1994,,http://europepmc.org/abstract/AGR/IND20454880,http://europepmc.org/abstract/AGR/IND20454880,"Sundance Farms of Coolidge, AZ was the primary study site with DPL 5415 cotton. For the furrow irrigation test, a field was divided into two 15-acre halves. Beauveria bassiana (as Naturalis-L) was applied to one half of the field (15 sub-sampling plots, 3 X 5). The synthetic pyrethroids bifenthrin (as Capture) and zeta-cypermethrin (as Mustang) were applied to the second half (5 and 10 ac, subplots of 1 X 5 and 2 X 5, respectively) as a standard for comparison. For the sub-drip irrigated test, 2 fields were used. In field one, 15 ac were treated with B. bassiana and in the second field, bifenthrin was applied to 5 and zeta-cypermethrin to 10 ac. Sub-plot divisions were similar to the furrow irrigation test. Label application were used at 25-30 gal/ac applied with a ground sprayer (JD 6000 HI CYCLE) with inverted Y drops on the boom at 70-90 psi. Five applications were made by ground in August and September. All life stages of sweetpotato whitefly (SPWF) Bemisia tabaci were sampled. For SPWF egg counts in drip-irrigated cotton, mean number/cm2 were 0.07, 0.04, and 0.10 for B. bassiana, bifenthrin, and zeta-cypermethrin treatments, respectively. Differences among means were not significant. For SPWF egg counts in furrow-irrigated cotton, mean number/cm2 were 4.60, 1.24, and 1.50 for B. bassiana, bifenthrin, and zeta-cypermethrin, respectively; differences between means for drip versus furrow irrigation were significant at P < 0.05. By 2-way ANOVA, the B. bassiana egg mean in furrow irrigation (4.60) was significantly different from all other means at P < 0.001 - interaction. For SPWF large immature counts in drip-irrigated cotton, mean number/cm2 were 0.02, 0.03, and 0.04 for B. bassiana, bifenthrin, and zeta-cypermethrin, respectively; differences among means were not significant. For SPWF large immature counts in furrow-irrigated cotton, mean number/cm2 were 0.45, 0.40, and 0.45 for B. bassiana, bifenthrin, and zeta-cypermethrin, respectively; differences between means for drip versus furrow irrigation were significant at P < 0.05. There was no interaction. For furrow irrigation, mean counts per cm2 of large immatures at the end of the season were 6.6, 5.9, 6.9, and 5.9 for B. bassiana, bifenthrin, and zeta-cypermethrin, and a ""best agricultural practices field"", respectively; differences among means were not significant. However, for an untreated field (received one insecticide treatment-late season) the mean was 41.3 and was significantly different from the other means at P < 0.001. The yields, in bales, for the treated fields were all > 2.8 and was < 2.1 for the untreated field; these differences were significant at P < 0.05. None of the cotton, neither leaves nor lint showed signs of stickiness in treated plots. An additional experiment was conducted in small plots at the USDA, ARS Western Cotton Research Laboratory, also with DPL 5415. A split plot design (3 rows X 16 ft) with 5 plots and 4 replicates per treatment received three 5-7 day interval applications of B. bassiana for one treatment and the other was the control. This test was done in September to present a ""worst case scenario"" in terms of SPWF numbers. For B. bassiana treated plots, mean number of eggs /cm2 were 39.11 versus 46.67 for the control plots; means were not significantly different. However, for the mean number of large immatures, 1.33 for B. bassiana treated plots and 3.64, the difference was highly significant at P < 0.001 and represented a percent reduction of 63%. This work also showed that sub-drip irrigated cotton supported significantly lower populations of SPWF than did furrow-irrigated cotton."
4317,rayyan-628423265,The effects and persistence of the fungus Beauveria bassiana (Mycotrol) and imidacloprid (Provado) on tarnished plant bug mortality and feeding,1997,,http://europepmc.org/abstract/AGR/IND20612544,http://europepmc.org/abstract/AGR/IND20612544,"The effectiveness of Mycotrol WP and Provado 1.6F were tested alone and in combination to control adult tarnished plant bug. Mycotrol WP contains the natural insect pathogen Beauveria bassiana which can infect a wide host range. Provado 1.6F contains imidacloprid which possesses activity against sucking insects. When Mycotrol and Provado were applied together at half of the maximum recommended rate for both insecticides, control was equal to that of Provado alone at maximum rate and greater than Mycotrol alone at maximum rate. Provado significantly increased tarnished plant bug mortality for at least 48 hours after spray. Mycotrol significantly increased mortality for 24 hours after spraying. Results from feeding trials suggested that plant bugs exposed to Provado showed an immediate decrease in feeding while those treated with Mycotrol only decreased feeding seven days after exposure."
490,rayyan-628415920,Effects of Biorational Pesticides on Four Coccinellid Species (Coleoptera: Coccinellidae) having Potential as Biological Control Agents in Interiorscapes,2000,10.1603/0022-0493-93.3.732,https://doi.org/10.1603/0022-0493-93.3.732,https://app.dimensions.ai/details/publication/pub.1020467884,"The direct toxicity of insecticidal soap, horticultural oil, Azatin, an extract from the Neem tree containing azadiractin, and BotainiGard, a commercial formulation of the entomopathogenic fungus Beauveria bassiana, was assessed on adults of four species of coccinellids--Hippodamia convergens (Guerin-Meneville), Coleomegilla maculata (DeGeer), Harmonia axyridis Pallas, and Cryptolaemus montrouzieri Mulsant. All biorationals caused less mortality than a conventional pesticide, carbaryl (Sevin). Horticultural oil (Sunspray ultrafine oil) consistently had no effect on beetle survivorship. Insecticidal soap (M-Pede) significantly reduced survival in all replicates for C. maculata and in at least one of the three replicates for the other three coccinellid species. Beauveria bassiana (BotaniGard) significantly reduced survival of C. montrouzieri at 72 h after spray in all three replicates. Azatin reduced survivorship in only one species, C. maculata, in only one of the three replicates."
2896,rayyan-628421802,Mycoinsecticides for aphid management : a biorational approach,2000,,http://europepmc.org/theses/ETH/523877,"[""http://europepmc.org/theses/ETH/523877"", ""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.523877""]","This study considered a novel approach to selecting isolates of Hyphomycete fungi as mycoinsecticides for biological control of aphids in arable crops in the UK. The approach was designed to select isolates which were compatible with both the biotic and abiotic environment. Aphis fabae was chosen as a representative target aphid for bioassays, based on results of preliminary experiments. Eighteen isolates of fungi were screened at a single concentration of 1x 108 conidia ml1 against apterous adult A. fabae, which were incubated at 23C. Spray applications were made using an electrostatic rotary atomiser in both laboratory and field experiments. Isolates that originated from aphid hosts were most pathogenic to A. fabae. Four isolates were selected for further studies; ARSEF 2879 (Beauveria bassiana), HRI 1.72 (Verticillium lecanii), Mycotrol strain GHA (B. bassiana) and Z11 (Paecilomyces fumosoroseus). Isolate HRI 1.72 was most virulent to A. fabae in dose-response assays compared to other isolates; at concentrations of 1x 105 conidia ml1 and above, mortality of aphids due to infection by HRI 1.72 was 100%. Isolates of P. fumosoroseus and V. lecanii were able to grow and germinate better in vitro ... (continues)"
3719,rayyan-628422650,Biological control of greenhouse whitefly (Trialeurodes vaporariorum) with fungal insecticides,2003,,http://europepmc.org/abstract/MED/15149114,http://europepmc.org/abstract/MED/15149114,"The influence of the biological insecticide Botanigard (Beauveria bassiana) on different developmental stages of the greenhouse whitefly (Trialeurodes vaporariorum) has been tested and compared with the influence of Preferal (Paecilomyces fumosoroseus), also a biological product. Six experiments were set up to test the two products on eggs, which were four and seven days old, on larvae of the first, second/third and fourth stage and to test the effect on egg-deposition. These experiments were all conducted on cucumber. Egg-deposition was limited to a small area on the leaf by using leaf cages. To evaluate these tests the number of eggs or larvae developed to the next stage has been counted and compared to the total amount of eggs or larvae on the leaves. The results revealed that Botanigard has an effect on the larval stages. The first larval stage is most sensitive; the next stages have a decreasing sensitivity. There was no influence on the hatching of the eggs, but a treatment short before the hatching could have a residual effect on the new nymphs. When the treatment with Botanigard is performed shortly before a moult or a fungicide treatment, the efficacy of the product decreases significantly. The influence of Preferal on the greenhouse whitefly is, under the same circumstances, less obvious."
4781,rayyan-628423732,Effect of air humidity on the infection potential of hyphomycetous fungi as Mycoinsecticides for Trialeurodes vaporariorum,2003,10.1080/0958315021000073457,https://doi.org/10.1080/0958315021000073457,"[""http://europepmc.org/abstract/AGR/IND43646757"", ""https://doi.org/10.1080/0958315021000073457""]","Two commercial mycoinsecticides, 'Mycotal', based on Verticillium lecanii and 'Naturalis-L', on Beauveria bassiana, were used at dosages recommended by manufacturers to examine effects of a range of medium and high humidities on infection towards Trialeurodes vaporariorum. Two series of bioassays were carried out using special devices. In one series, a non-excised bean leaf was sandwiched in order to create a chamber above the whitefly-infected area. In another series, three potted whole bean plants were maintained in an airtight plastic box. In both series, conducted at 25 degrees C, relative humidity (RH) was controlled by injecting a circulating constant flow of humidity-regulated air which had passed over a salt solution used to maintain targeted air humidity levels (ranging from 53 to 98.5 and 75 to 98.5% RH, respectively). Microclimatic measurements demonstrated that non-excised leaves significantly increased the air humidity in the air circulating in the immediate environment of the leaf surface as well as that of the whole plant. In the first series of assays under all RH conditions tested (from 70 to 98% RH after passage above the leaves), both mycoinsecticides induced high mortality rates (92-100%). The fungal effect occurred early, since at least 70% of whiteflies died as second instars, before the next molt occurred. Fungus-induced mortality appeared to be independent of the expected humidity level. In the second series of assays, mortality rates were high (98-100"
1070,rayyan-628419782,The entomopathogenic fungus Beauveria bassiana and its compatibility with triflumuron: effects on the twospotted spider mite Tetranychus urticae,2003,10.1016/s1049-9644(02)00123-8,https://doi.org/10.1016/s1049-9644(02)00123-8,"[""http://europepmc.org/abstract/AGR/IND23316244"", ""https://doi.org/10.1016/S1049-9644(02)00123-8""]","Laboratory studies were conducted to determine the effects of the mycoinsecticide Naturalis-L (Beauveria bassiana conidial formulation) on the twospotted spider mite Tetranychus urticae. Compatibility of B. bassiana with triflumuron (benzoylphenyl urea typically used as an insecticide, but also with acaricide effects), was also investigated in order to incorporate both in the control of this pest. For each juvenile stage, 180-22,800 viable conidia/mL on deutonymphs, 380-12,160 viable conidia/mL on protonymphs, and 712-7480 viable conidia/mL on larvae were evaluated. For the adult stage, the concentrations ranged from 213 to 54,720 viable conidia/mL. The mortality data used in the analysis were those accumulated after 5 days of treatment for deutonymphs and protonymphs, 7 days for larvae and 9 days for adults. The lethal concentration to kill 50% (LC50) for the juvenile stages was 3184 viable conidia/mL (their probit-log concentration regression lines were the same), and 1949 viable conidia/mL for adults. No significant differences in mortality were observed among egg age classes (24-, 48-, 72-, and 96-h-old eggs) at the tested concentrations (1400-22,800 viable conidia/mL). When B. bassiana was combined with 0.25 g Alsystin (25% triflumuron as a wettable powder)/L, mite egg mortality decreased significantly. Triflumuron reduced mycelial growth but not conidial germination of B. bassiana. This fungus is a possible candidate to be included in integrated pest management programs"
1402,rayyan-628420138,Efficacy of Beauveria bassiana (Hyphomycetes) for control of Russian wheat aphid (Homoptera: Aphididae) on resistant wheat under field conditions,2004,10.1080/09583150410001683501,https://doi.org/10.1080/09583150410001683501,"[""http://europepmc.org/abstract/AGR/IND43731302"", ""https://doi.org/10.1080/09583150410001683501""]","The Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae) is considered the most important pest of wheat produced under dryland field conditions in South Africa. As part of an integrated pest management strategy, the entomopathogenic hyphomycete Beauveria bassiana (Balsamo) Vuillemin was evaluated in combination with antibiotic host plant resistance under dryland field conditions during 1998 and 1999. A commercial formulation, Mycotrol ES, was applied at a rate of 2.4 L (5 x 10(13) conidia) per hectare +0.1% organosilicone surfactant. During both years, two applications were administered, i.e., on growth stages 31 (first node detectable) and 39 (early flag leaf). An additional treatment, application at growth stage 39 only, was included during 1999. Over the duration of the 1998 trial, ca. 65% fewer aphids were observed on treated plots compared with controls. A similar level of population reduction was observed during the 1999 trial; however, treatment effects were only briefly evident due to a rapid field-wide decline in aphid populations caused by adverse (cool, wet) weather conditions. The early application (GS 31) resulted in some level of control only during 1998. It was hypothesized that this phenomenon was the result of greater exposure to the spray applications and/or greater secondary pick-up of fungal inoculum by the aphids due to the higher level of aphid activity observed on the cultivar employed during that year. In this regard, migration of D."
3941,rayyan-628422880,"Evaluation of Beauveria bassiana applications against adult house fly, Musca domestica, in commercial caged-layer poultry facilities in New York state",2005,10.1016/j.biocontrol.2005.03.011,https://doi.org/10.1016/j.biocontrol.2005.03.011,"[""http://europepmc.org/abstract/AGR/IND43710387"", ""https://doi.org/10.1016/j.biocontrol.2005.03.011""]","Applications of a commercially produced Beauveria bassiana product, balEnce, were compared with pyrethrin treatments for the control of adult house flies in New York high-rise, caged-layer poultry facilities. An integrated fly management program, which included the release of house fly pupal hymenopteran parasitoids, was used at all facilities. Adult house fly populations were lower in B. bassiana-treated facilities during the spray and post-spray periods, as recorded on spot cards. Concurrently, the numbers of house fly larvae recovered in B. bassiana-treated facilities were less than one-half that of the pyrethrin-treated facilities. House fly pupal parasitism levels were low, but similar under both treatment regimes. The numbers of adult and larval Carcinops pumilio, a predatory beetle, recovered from B. bassiana-treated facilities were 43 and 66% greater than from the pyrethrin-treated facilities, respectively."
2871,rayyan-628421777,"Laboratory and glasshouse evaluation of entomopathogenic fungi against the two-spotted spider mite, Tetranychus urticae (Acari: Tetranychidae), on tomato, Lycopersicon esculentum",2005,10.1080/09583150410001720617,https://doi.org/10.1080/09583150410001720617,"[""http://europepmc.org/abstract/AGR/IND43703437"", ""https://doi.org/10.1080/09583150410001720617""]","Forty isolates of entomopathogenic fungi from six genera were assessed against the two-spotted spider mite, Tetranychus urticae, in a single dose, direct application laboratory bioassay on tomato leaflets. Only three isolates caused greater mortality than the control: these were Metarhizium anisopliae 442.99, Hirsutella spp. 457.99, and Verticillium lecanii 450.99. These isolates were assessed in a multiple dose bioassay, together with three isolates cultured from commercial biopesticides as follows: Beauveria bassiana 432.99 (cultured from 'Naturalis-L', Troy Biosciences, Phoenix, TX, USA); Hirsutella thompsonii 463.99 (cultured from 'Mycar', Abbott Laboratories USA); and V. lecanii 19.79 (used in 'Mycotal' Koppert BV, The Netherlands). Beauveria bassiana 432.99, H. thompsonii 463.99, M. anisopliae 442.99, and V. lecanii 450.99 were all pathogenic to T. urticae in this bioassay. In addition, it was found that the mortality caused by B. bassiana 432.99 and Naturalis-L was increased when the mites were exposed to tomato leaflets sprayed previously with conidia suspensions, compared to spraying the mites directly. In a glasshouse experiment, sprays of B. bassiana 432.99, H. thompsonii 463.99, M. anisopliae 442.99, V. lecanii 450.99 and Naturalis-L reduced T. urticae populations in a tomato crop grown according to commercial practice. Naturalis-L reduced T. urticae numbers by up to 97%. In a second glasshouse experiment, single sprays of Naturalis-L and the acaricide fenbutatin"
