record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,traits,virulence_link,carrier_or_surface_context,extract_status
4964,rayyan-628424054,Bioprocess and genetic advances enhancing Beauveria bassiana biocontrol efficacy.,2026,Kolanchi P;Saminathan N;Selvaraj D;Krishnamoorthy A;Palanivelu K;Aruchalam A,10.1016/j.micpath.2025.108272,https://doi.org/10.1016/j.micpath.2025.108272,Kolanchi2026,02b_strains_traits,02b_strains_traits,abstract,0,adhesion|virulence,yes,oil|encapsulation_hydrogel,no_endpoint_in_abstract
2415,rayyan-628421241,Carnauba wax enhances the insecticidal activity of entomopathogenic fungi against the blowfly Lucilia sericata (Diptera: Calliphoridae),2020,"Muniz, Elen R;Bedini, Stefano;Sarrocco, Sabrina;Vannacci, Giovanni;Mascarin, Gabriel M;Fernandes, Everton K K;Conti, Barbara",10.1016/j.jip.2020.107391,https://doi.org/10.1016/j.jip.2020.107391,Muniz2020,02b_strains_traits,02b_strains_traits,full-text,0,virulence,yes,carnauba wax dry powder,full_text_extracted
2001,rayyan-628420797,Development of an attract-and-infect system to control Rhynchophorus ferrugineus with the entomopathogenic fungus Beauveria bassiana,2018,"Dembilio, Oscar;Moya, Pilar;Vacas, Sandra;Ortega-Garcia, Lola;Quesada-Moraga, Enrique;Jaques, Josep A;Navarro-Llopis, Vicente",10.1002/ps.4888,https://doi.org/10.1002/ps.4888,Dembilio2018,02b_strains_traits,02b_strains_traits,full-text,0,virulence,yes,27 conidia from each conidiated cadaver was 1,full_text_extracted
235,rayyan-628415451,"Enhancing Virulence of an Entomopathogenic Fungus Against the Diamondback Moth, Plutella xylostella (Lepidoptera: Plutellidae), Through Integrated Formulation Strategies Under Laboratory and Greenhouse Conditions",2026,"Riaz, Muhammad;Chang, Tsui-Ying;Kafle, Lekhnath;Chen, Wen-Hua",10.3390/insects17060622,https://doi.org/10.3390/insects17060622,Riaz2026,02b_strains_traits,02b_strains_traits,full-text,0,virulence,yes,108 conidia/mL,full_text_extracted
2362,rayyan-628421188,Isolation and evaluation of South African isolates of Beauveria bassiana (Hypocreales: Cordycipitaceae) on Rhipicephalus microplus (Acari: Ixodidae),2022,"Zeina, Ghirmay;Laing, Mark",10.1007/s10493-021-00674-8,https://doi.org/10.1007/s10493-021-00674-8,Zeina2022,02b_strains_traits,02b_strains_traits,abstract,0,virulence,yes,oil,endpoint_in_abstract
979,rayyan-628419684,"Isolation, fermentation, and formulation of entomopathogenic fungi virulent against adults of Diaphorina citri",2021,"Awan, Umar Anwar;Meng, Lixue;Xia, Shuang;Raza, Muhammad Fahim;Zhang, Zhenyu;Zhang, Hongyu",10.1002/ps.6429,https://doi.org/10.1002/ps.6429,Awan2021,02b_strains_traits,02b_strains_traits,abstract,0,virulence,yes,oil,endpoint_in_abstract
4042,rayyan-628422983,Plant oils for improving thermotolerance of Beauveria bassiana,2010,"Kim, Jae Su;Skinner, Margaret;Parker, Bruce",10.4014/jmb.1005.05023,https://doi.org/10.4014/jmb.1005.05023,Kim2010,02b_strains_traits,02b_strains_traits,full-text,0,thermotolerance,unclear,107 conidia ml−1,full_text_extracted
1729,rayyan-628420497,Fungal evasion of Drosophila immunity involves blocking the cathepsin-mediated cleavage maturation of the danger-sensing protease,2025,"Tang, Guirong;Song, Shuangxiu;Shang, Junmei;Luo, Yujuan;Li, Shiqin;Wei, Dongxiang;Wang, Chengshu",10.1073/pnas.2419343122,https://doi.org/10.1073/pnas.2419343122,Tang2025,06-background-proxies,06-background-proxies|02a_efficacy|02b_strains_traits,full-text,0,virulence|protease,yes,protein_bait,full_text_extracted
5545,rayyan-628425857,"Isolation, morphological characterization, and screening virulence of Beauveria bassiana and Metarhizium robertsii fungal isolates on Galleria mellonella.",2023,Geremew D;Shiberu T;Leta A,10.12688/f1000research.134020.5,https://doi.org/10.12688/f1000research.134020.5,Geremew2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,virulence|spore_production,yes,trap_surface,endpoint_in_abstract
3427,rayyan-628422347,Microbial control of Musca domestica (Diptera: Muscidae) with selected strains of Beauveria bassiana,2005,"Lecuona, Roberto E;Turica, Mariana;Tarocco, Federico;Crespo, Diana C",10.1093/jmedent/42.3.332,https://doi.org/10.1093/jmedent/42.3.332,Lecuona2005,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,virulence,yes,trap_surface,endpoint_in_abstract
3965,rayyan-628422905,"Occurrence of entomopathogenic fungi from agricultural and natural ecosystems in Saltillo, Mexico, and their virulence towards thrips and whiteflies",2011,"Sanchez-Pena, Sergio R;Lara, Jorge San-Juan;Medina, Raul F",10.1673/031.011.0101,https://doi.org/10.1673/031.011.0101,Sanchez-Pena2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,virulence,yes,trap_surface,endpoint_in_abstract
2043,rayyan-628420843,Variability in virulence of Beauveria spp. soil isolates against Ostrinia nubilalis,2021,"Medo, Juraj;Medova, Janka;Michalko, Jaroslav;Cagan, Ludovit",10.1111/jen.12806,https://doi.org/10.1111/jen.12806,Medo2021,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|02b_strains_traits,abstract,0,virulence,yes,aqueous,endpoint_in_abstract
2229,rayyan-628421041,Contribution of the horizontal transmission of the entomopathogenic fungus Beauveria bassiana to the overall performance of a fungal powder formulation against Triatoma infestans,2011,"Forlani, Lucas;Pedrini, Nicolas;Juarez, M Patricia",10.2147/rrtm.s22961,https://doi.org/10.2147/rrtm.s22961,Forlani2011,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02b_strains_traits,full-text,0,virulence,yes,,full_text_extracted
4708,rayyan-628423659,"Identity, Prevalence, and Pathogenicity of Entomopathogenic Fungi Infecting Invasive Polistes (Vespidae: Polistinae) Paper Wasps in New Zealand",2022,"Reason, Aiden;Bulgarella, Mariana;Lester, Philip J",10.3390/insects13100922,https://doi.org/10.3390/insects13100922,Reason2022,02b_strains_traits,02b_strains_traits|03-autodissemination-social,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
4971,rayyan-628424070,"Evaluation of Spore Acquisition, Spore Production, and Host Survival Time for Tea Shot-Hole Borer, Euwallacea perbrevis, Adults after Exposure to Four Commercial Products Containing Beauveria bassiana.",2023,Chavez AV;Duren EB;Avery PB;Pitino M;Duncan RE;Cruz LF;Carrillo D;Cano LM;Cave RD,10.3390/insects14090726,https://doi.org/10.3390/insects14090726,Chavez2023,02b_strains_traits,02b_strains_traits,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
303,rayyan-628415563,Dual Action of Beauveria bassiana (Hypocreales; Cordycipitaceae) Endophytic Stains as Biocontrol Agents against Sucking Pests and Plant Growth Biostimulants on Melon and Strawberry Field Plants,2022,"Mantzoukas, Spiridon;Daskalaki, Eufrosini;Kitsiou, Foteini;Papantzikos, Vasileios;Servis, Dimitrios;Bitivanos, Stergios;Patakioutas, George;Eliopoulos, Panagiotis A",10.3390/microorganisms10112306,https://doi.org/10.3390/microorganisms10112306,Mantzoukas2022,02b_strains_traits,02b_strains_traits,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
299,rayyan-628415557,Ethanol tolerance of fungal strains underlies biocontrol of invasive ambrosia beetles,2026,"Moore, M Elizabeth;Cure, Anne E;Johnson, Thomas W;Biddle, Gregory;Baniszewski, Julie A;Ranger, Christopher M;Milbrath, Lindsey R;Lovett, Brian",10.1093/jee/toag144,https://doi.org/10.1093/jee/toag144,Moore2026,02b_strains_traits,02b_strains_traits,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
5050,rayyan-628424276,"Evaluation of spray applications of Metarhizium anisopliae, Metarhizium brunneum and Beauveria bassiana against larval winter ticks, Dermacentor albipictus.",2020,Sullivan CF;Parker BL;Davari A;Lee MR;Kim JS;Skinner M,10.1007/s10493-020-00547-6,https://doi.org/10.1007/s10493-020-00547-6,Sullivan2020,02b_strains_traits,02b_strains_traits,full-text,0,not_in_pdf,not_in_pdf,not_in_pdf,full_text_extracted
