record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,nontarget_taxa,exposure_route,effect_direction,extract_status
608,rayyan-628416110,A predatory social wasp does not avoid nestmates contaminated with a fungal biopesticide,2023,"de Souza, Andre Rodrigues;Prato, Amanda;Franca, Wilson;Santos, Sircio;Lima, Luan Dias;Alves, Denise Araujo;Bernardes, Rodrigo Cupertino;Santos, Eduardo Fernando;do Nascimento, Fabio Santos;Lima, Maria Augusta Pereira",10.1007/s11356-023-29770-5,https://doi.org/10.1007/s11356-023-29770-5,DeSouza2023,02a_efficacy,02a_efficacy|02c_formulation_delivery|04-nontarget-ecotox,full-text,0,predator_parasitoid|other_beneficial,unclear,compatible_or_low_effect|adverse_or_mortality_mentioned,full_text_extracted
423,rayyan-628415780,Behavioral Suppression and Rapid Lethality: Beauveria bassiana B4 Targets Adult Monochamus alternatus for Sustainable Management of Pine Wilt Disease,2025,"Zhang, Yaqi;Zhang, Xuejie;An, Liudi;Gong, Dongfeng;Wang, Jinsheng;Bi, Huitao;Zheng, Yi;Cao, Lei;Lu, Shaohui",10.3390/insects16101045,https://doi.org/10.3390/insects16101045,Zhang2025,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,full-text,0,other_beneficial,trap,adverse_or_mortality_mentioned,full_text_extracted
2993,rayyan-628421904,Effects of soil treatments with entomopathogenic fungi on soil dwelling non-target arthropods at a commercial olive orchard,2011,"Garrido-Jurado, I;Ruano, F;Campos, M;Quesada-Moraga, E",10.1016/j.biocontrol.2011.07.001,https://doi.org/10.1016/j.biocontrol.2011.07.001,Garrido-Jurado2011,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,other_beneficial,soil_drench,adverse_or_mortality_mentioned,endpoint_in_abstract
5627,rayyan-628426062,Efficacy and nontarget effects of broadcast treatments to manage spotted lanternfly (Hemiptera: Fulgoridae) nymphs.,2023,Keller JA;Walsh B;Johnson A;Jenkins N;Rost J;Treichler B;Biddinger D;Calvin DD;Hoover K;Urban J;Roush RT,10.1093/jee/toad121,https://doi.org/10.1093/jee/toad121,Keller2023,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,full-text,0,,trap|foliar_spray,compatible_or_low_effect on nontarget traps,full_text_extracted
557,rayyan-628416038,Formulation and bio-efficacy of different isolates of Beauveria bassiana against adults and third nymphal instar of desert locust (Schistocerca gregaria Forskal),2024,"Mwikali, Pamela C;Mwamburi, Lizzy A;Peter Musinguzi, Simon",10.1016/j.biocontrol.2024.105642,https://doi.org/10.1016/j.biocontrol.2024.105642,Mwikali2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,other_beneficial,bait_station|foliar_spray,adverse_or_mortality_mentioned,endpoint_in_abstract
3737,rayyan-628422668,Impact of soil applications of Beauveria bassiana and Mariannaea sp. on nontarget forest arthropods,1997,"Parker, BL;Skinner, M;Gouli, V;Brownbridge, M",10.1006/bcon.1997.0516,https://doi.org/10.1006/bcon.1997.0516,Parker1997,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,abstract,0,,trap|soil_drench,,no_endpoint_in_abstract
5030,rayyan-628424223,Isolation and identification of entomopathogenic fungi strains for Colorado potato beetle (Leptinotarsa decemlineata) control.,2024,Konopicka J;Skokova Habustova O;Janova N;Zurovcova M;Dolezal P;Zemek R,10.1093/jambio/lxae213,https://doi.org/10.1093/jambio/lxae213,Konopicka2024,02c_formulation_delivery,02c_formulation_delivery|02a_efficacy|04-nontarget-ecotox,full-text,0,other_beneficial|human,bait_station,adverse_or_mortality_mentioned,full_text_extracted
356,rayyan-628415665,Biopesticide Exposure Increases Aggression Without Impairing Nestmate Recognition in a Social Paper Wasp,2025,"De Fazi, Livia;Cervo, Rita;Baracchi, David;Bruschini, Claudia;Cappa, Federico",10.1002/tox.24547,https://doi.org/10.1002/tox.24547,DeFazi2025,02a_efficacy,02a_efficacy|03-autodissemination-social|04-nontarget-ecotox,full-text,0,other_beneficial,unclear,adverse_or_mortality_mentioned,full_text_extracted
1976,rayyan-628420771,Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions,2012,"Shipp, Les;Kapongo, Jean Pierre;Park, Hong-Hyun;Kevan, Peter",10.1016/j.biocontrol.2012.07.008,https://doi.org/10.1016/j.biocontrol.2012.07.008,Shipp2012,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|04-nontarget-ecotox|01-existing-products,abstract,0,Bombus|predator_parasitoid|other_beneficial,bee_vectoring,compatible_or_low_effect,endpoint_in_abstract
1521,rayyan-628420270,Natural biocide disrupts nestmate recognition in honeybees,2019,"Cappa, Federico;Petrocelli, Iacopo;Dani, Francesca Romana;Dapporto, Leonardo;Giovannini, Michele;Silva-Castellari, Jeferson;Turillazzi, Stefano;Cervo, Rita",10.1038/s41598-019-38963-3,https://doi.org/10.1038/s41598-019-38963-3,Cappa2019,03-autodissemination-social,03-autodissemination-social|04-nontarget-ecotox,full-text,0,Apis,unclear,adverse_or_mortality_mentioned,full_text_extracted
