cite_label,publication_year,authors,title,doi,article_link,taxon_focus,theme,pdf_filename,note,infection_process,abiotic_or_formulation_limits,evidence,extract_status
ButtGoettel,2000,Butt TM;Goettel MS,Beauveria bassiana review,,,not_in_pdf,not_in_pdf,ButtGoettel.pdf,mortality up to 75%,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Costa2001,2001,Costa SD,UV-blocking greenhouse film effects on Beauveria bassiana,,,not_in_pdf,not_in_pdf,Costa_2001.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Brodeur2012,2012,Brodeur J,Host specificity in biological control,10.1111/j.1752-4571.2012.00273.x,https://doi.org/10.1111/j.1752-4571.2012.00273.x,not_in_pdf,not_in_pdf,Evolutionary Applications - 2012 - Brodeur - Host specificity in biological control  insights from opportunistic pathogens.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Ma2024,2024,Ma Z,Three infection stages of Beauveria bassiana,10.3389/fimmu.2023.1329843,https://doi.org/10.3389/fimmu.2023.1329843,not_in_pdf,not_in_pdf,Ma_2024.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Mascarin2016,2016,Mascarin GM,Beauveria bassiana as a biological control agent against crop pests and diseases,10.1007/s11274-016-2131-3,https://doi.org/10.1007/s11274-016-2131-3,not_in_pdf,not_in_pdf,Mascarin_2016.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
OrtizUrquiza2013,2013,Ortiz-Urquiza A,Adhesion and pathogenesis-related enzymes,10.3390/insects4030357,https://doi.org/10.3390/insects4030357,not_in_pdf,not_in_pdf,Ortiz-Urquiza_2013.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Pedrini2013,2013,Pedrini N,Hydrocarbon oxidation,10.3389/fmicb.2013.00024,https://doi.org/10.3389/fmicb.2013.00024,not_in_pdf,not_in_pdf,Pedrini_2013.pdf,full-text pass,not_in_pdf,LC50=50,full-text,full_text_extracted
Pedrini2022,2022,Pedrini N,Secondary metabolite genes,10.3390/jof8050488,https://doi.org/10.3390/jof8050488,not_in_pdf,not_in_pdf,Pedrini_2022.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Singh2015,2015,Singh A,Beauveria bassiana: an insect pathogen,10.1007/978-3-319-14499-3_10,https://doi.org/10.1007/978-3-319-14499-3_10,not_in_pdf,not_in_pdf,Singh_2015.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Tang2025,2025,"Tang, Guirong;Song, Shuangxiu;Shang, Junmei;Luo, Yujuan;Li, Shiqin;Wei, Dongxiang;Wang, Chengshu",Fungal evasion of Drosophila immunity involves blocking the cathepsin-mediated cleavage maturation of the danger-sensing protease,10.1073/pnas.2419343122,,not_in_pdf,not_in_pdf,Tang_2025.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
ValeroJimenez2016,2016,Valero-Jimenez CA,Seven-step infection process,10.1016/j.jip.2015.11.011,https://doi.org/10.1016/j.jip.2015.11.011,not_in_pdf,not_in_pdf,Valero-Jimenezetal.2016.pdf,full-text pass,not_in_pdf,not_in_pdf,full-text,full_text_extracted
Zimmermann2007,2007,Zimmermann G,Review Bb abiotic limits,,,general,abiotic,Zimmermann_2007.pdf,T optimum 23-28 C; moisture; UV half-life,not_in_pdf,T optimum 23-28 C; moisture; UV half-life,full-text,full_text_extracted
