cite_label,publication_year,authors,title,doi,article_link,taxon_focus,theme,pdf_filename,note,evidence,extract_status
Lacombrade2025,2025,Lacombrade M;Rocher N;Mahot-Castaing B;Vogelweith F;Lihoreau M;Thiéry D,The invasive hornet Vespa velutina nigrithorax is more susceptible to an entomopathogenic fungus than two other hymenopteran species the wasp Vespula vulgaris and the bumblebee Bombus terrestris,10.1007/s10526-025-10331-3,https://doi.org/10.1007/s10526-025-10331-3,Vespa_velutina,fungus_non_Bb,Lacombrade-2025-fungus-susceptibility.pdf,"Metarhizium robertsii; V. velutina vs Vespula/Bombus; published BioControl; preprint skipped as duplicate; velutina_prior_project | full-text: mortality data on V; 107 
spores per milliliter (sp   ml–1) reduced their survival; acq=both | full-text: acq=both; mortality data on V; ; 107 
spores per milliliter (sp   ml–1) reduced their survival",full-text,full_text_extracted
Felden2019,2019,Felden A;Baty JW;Bulgarella M;Brown RL;Dobelmann J;Gruber MAM;Quinn O;Lester PJ,Viral and fungal pathogens associated with Pneumolaelaps niutirani: a mite found in diseased nests of Vespula wasps,10.1007/s00040-019-00730-y,https://doi.org/10.1007/s00040-019-00730-y,Vespidae,fungus_virus_non_Bb,Felden-2019-Vespula-nest-fungi.pdf,Aspergillus and viruses in diseased Vespula nests via mites; velutina_prior_project | full-text: acq=bait_inoculum,full-text,full_text_extracted
Fouillaud1995,1995,Fouillaud M;Morel G,Fungi associated with nests of the paper wasp Polistes hebraeus on La Reunion Island,10.1093/ee/24.2.298,https://doi.org/10.1093/ee/24.2.298,Vespidae,fungus_non_Bb,Fouillaud-1995-Polistes-nest-fungi.pdf,Nest mycoflora including entomopathogens; PDF is PestinfoWiki abstract page not full text; velutina_prior_project,,
Dalmon2019,2019,Dalmon A;Gayral P;Decante D;Klopp C;Bigot D;Thomasson M;Herniou EA;Alaux C;Le Conte Y,Viruses in the Invasive Hornet Vespa velutina,10.3390/v11111041,https://doi.org/10.3390/v11111041,Vespa_velutina,virus,Dalmon-2019-viruses-Vespa-velutina.pdf,Viral pathogens of V. velutina; velutina_prior_project | full-text: mortality rate [89]; acq=both | full-text: acq=both; mortality rate [89],full-text,full_text_extracted
GabinGarcia2021,2021,Gabín-García LB;Bartolomé C;Guerra-Tort C;Rojas-Nossa SV;Llovo J;Maside X,Identification of pathogens in the invasive hornet Vespa velutina and in native Hymenoptera (Apidae Vespidae) from SW-Europe,10.1038/s41598-021-90615-7,https://doi.org/10.1038/s41598-021-90615-7,Vespa_velutina,pathogen_survey,Gabin-Garcia-2021-pathogens-Vespa-velutina.pdf,Pathogen survey in V. velutina and native Hymenoptera; velutina_prior_project | full-text: mortality; acq=both | full-text: acq=both; mortality,full-text,full_text_extracted
Santos2026,2026,Santos SS;Tiritelli R;Capela N;Souto P;Caringi V;Bortolotti L;Cilia G,Detection of bee-associated pathogens in different developmental stages within the nest of the invasive hornet Vespa velutina nigrithorax Buysson 1905,10.1007/s10530-026-03878-4,https://doi.org/10.1007/s10530-026-03878-4,Vespa_velutina,pathogen_survey,Santos-2026-bee-pathogens-Vespa-velutina-nest.pdf,Bee-associated pathogens across nest stages; velutina_prior_project,full-text,full_text_extracted
Villemant2015,2015,Villemant C;Zuccon D;Rome Q;Muller F;Poinar GO;Justine J-L,Can parasites halt the invader? Mermithid nematodes parasitizing the yellow-legged Asian hornet in France,10.7717/peerj.947,https://doi.org/10.7717/peerj.947,Vespa_velutina,nematode,Villemant-2015-mermithid-Vespa-velutina.pdf,Mermithid nematodes on V. velutina; velutina_prior_project | full-text: acq=both; mortality,full-text,full_text_extracted
Turchi2018,2018,Turchi L;Derijard B,Options for the biological and physical control of Vespa velutina nigrithorax (Hym.: Vespidae) in Europe: A review,10.1111/jen.12515,https://doi.org/10.1111/jen.12515,Vespa_velutina,biocontrol_review,Turchi-2018-biocontrol-options-Vespa-velutina.pdf,"Review of biological and physical control options for V. velutina in Europe; velutina_prior_project | full-text: mortality (Decante, 2015); acq=both | full-text: acq=both; mortality (Decante, 2015)",full-text,full_text_extracted
Monceau2013,2013,Monceau K;Bonnard O;Thiéry D,Vespa velutina: a new invasive predator of honeybees in Europe,10.1007/s10340-013-0537-3,https://doi.org/10.1007/s10340-013-0537-3,Vespa_velutina,invasive_background,Monceau-2013-Vespa-velutina-invasive-predator.pdf,Foundational invasive biology review; context for biocontrol; velutina_prior_project | full-text: acq=both,full-text,full_text_extracted
Kim2025,2025,Kim I-K;Kim C-J;Choi J-H;Kang HJ;Choi MB,Stylopization by Xenos spp. (Xenidae Strepsiptera) in invasive alien hornet Vespa velutina in South Korea,10.1051/parasite/2025004,https://doi.org/10.1051/parasite/2025004,Vespa_velutina,strepsipteran,Kim-2025-Xenos-stylopization-Vespa-velutina.pdf,Xenos stylopization of V. velutina; velutina_prior_project,full-text,full_text_extracted
Kanzaki2023,2023,Kanzaki N;Makino S;Kosaka H;Sayama K;Hamaguchi K;Narayama S,Nematode and Strepsipteran Parasitism in Bait-Trapped and Hand-Collected Hornets (Hymenoptera Vespidae Vespa),10.3390/insects14040398,https://doi.org/10.3390/insects14040398,Vespidae,nematode_strepsipteran,Kanzaki-2023-nematode-strepsipteran-hornets.pdf,Nematode and Strepsipteran parasitism in Vespa; velutina_prior_project | full-text: acq=both,full-text,full_text_extracted
Kosaka2026,2026,Kosaka H;Sayama K;Kanzaki N;Takahata Y;Makino S,Ecology of Sphaerularia vespae a nematode parasite that sterilizes hornets (Vespidae: Vespa): host range geographical distribution and seasonal occurrence,10.1007/s00040-026-01087-9,https://doi.org/10.1007/s00040-026-01087-9,Vespidae,nematode,Kosaka-2026-Sphaerularia-vespae-hornets.pdf,Sphaerularia vespae sterilizing nematode of Vespa; velutina_prior_project,full-text,full_text_extracted
Yang2026,2026,Yang X;Ma Y;Du G;Tian X;Dao J;Guo Y;Niu J;Wang Z;Luo B,Serratia marcescens Is Associated with Larval Mortality and Gut Dysbiosis in the Hornet Vespa analis,,,Vespidae,bacteria,Yang-2026-Serratia-Vespa-analis.pdf,Serratia marcescens associated with larval mortality in Vespa analis; DOI not in prior export; velutina_prior_project,,
Barandika2023,2023,Barandika JF;de la Hera O;Fañanás R;Rivas A;Arroyo E;Alonso RM;Alonso ML;Galartza E;Cevidanes A;García-Pérez AL,Efficacy of Protein Baits with Fipronil to Control Vespa velutina nigrithorax in Apiaries,10.3390/ani13132075,https://doi.org/10.3390/ani13132075,Vespa_velutina,trap_bait_chemical,Barandika-2023-protein-bait-fipronil.pdf,Protein bait + fipronil delivery proxy for V. velutina; velutina_prior_project | full-text: mortality was observed 48 h after the administration of the toxic baits; acq=both | full-text: acq=both; mortality was observed 48 h after the administration of the toxic baits,full-text,full_text_extracted
Edwards2017,2017,Edwards E;Toft R;Joice N;Westbrooke I,The efficacy of Vespex wasp bait to control Vespula species in New Zealand,10.1080/09670874.2017.1308581,https://doi.org/10.1080/09670874.2017.1308581,Vespidae,trap_bait_chemical,Edwards-2017-Vespex-protein-bait.pdf,Protein bait matrix 0.1% fipronil; nest traffic collapse; velutina_prior_project | full-text: acq=both,full-text,full_text_extracted
Buczkowski2024,2024,Buczkowski G,Catch and release: controlling eastern yellowjacket Vespula maculifrons colonies using horizontal insecticide transfer,10.1002/ps.8198,https://doi.org/10.1002/ps.8198,Vespidae,trap_bait_chemical,Buczkowski-2024-catch-release-transfer.pdf,Trap-treat-release horizontal transfer of fipronil in Vespula; delivery-pathway proxy; velutina_prior_project | full-text: mortality; acq=both | full-text: acq=both; mortality,full-text,full_text_extracted
Bas2026,2026,Bas JM;Artola J;Canelles Q;Roura-Pascual N,Adapted Koldo Belasko trap: a promising tool to reduce yellow-legged hornet pressure on beehives,10.1093/jee/toag150,https://doi.org/10.1093/jee/toag150,Vespa_velutina,trap_bait_chemical,Bas-2026-Koldo-Belasko-trap.pdf,Selective V. velutina trap design at apiaries; velutina_prior_project,full-text,full_text_extracted
PathogenOcc2024,2024,Cilia G;Caringi V;Zavatta L;Bortolotti L,Pathogen occurrence in different developmental stages of the invasive Vespa velutina nigrithorax (Buysson 1905),10.1002/ps.8325,https://doi.org/10.1002/ps.8325,Vespa_velutina,pathogen_survey,,CSV-only from velutina relevant set; no PDF in prior library; velutina_prior_project,,
