citekey,doi,title,year,surname,source
,,The Effects and Persistence of the Fungus Beauveria Bassiana Mycotrol and Imidacloprid Provado on Tarnished Plant Bug Mortality and Feeding,,Brown,sqlite:99-excluded
,,"SUSCEPTIBILITY OF RED-HEADED COCKCHAFER, ADORYPHORUS COULONI, IN NEW ZEALAND TO METARHIZIUM ANISOPLIAE STRAIN DAT-F001 (CHAFERGUARD™)",,Brownbridge,sqlite:99-excluded
merino2007,10.4067/s0365-28072007000400001,Selection of Native Fungi Strains Pathogenic to Vespula germanica (Hymenoptera: Vespidae),2007,Merino,sqlite:99-excluded
dessauvages2024,10.3390/insects15090697,A New Isolate Beauveria bassiana GxABT-1: Efficacy against Myzus persicae and Promising Impact on the Beet Mild Yellow Virus-Aphid Association,2024,Dessauvages,sqlite:99-excluded
hatting2004,10.1080/09583150410001683501,Efficacy of <i>Beauveria bassiana</i> (Hyphomycetes) for control of Russian wheat aphid (Homoptera: Aphididae) on resistant wheat under field conditions,2004,Hatting,sqlite:99-excluded
iida2023,10.3389/fpls.2023.1211825,Entomopathogenic fungus Beauveria bassiana–based bioinsecticide suppresses severity of powdery mildews of vegetables by inducing the plant defense responses,2023,Iida,sqlite:99-excluded
jaber2016,10.1016/j.biocontrol.2016.09.008,Effect of seed treatment duration on growth and colonization of Vicia faba by endophytic Beauveria bassiana and Metarhizium brunneum,2016,Jaber,sqlite:99-excluded
jaber2018,10.1007/s00425-018-2991-x,Seed inoculation with endophytic fungal entomopathogens promotes plant growth and reduces crown and root rot (CRR) caused by Fusarium culmorum in wheat,2018,Jaber,sqlite:99-excluded
labbé2009,10.1080/09583150902803229,Compatibility of an entomopathogenic fungus with a predator and a parasitoid in the biological control of greenhouse whitefly,2009,Labbé,sqlite:99-excluded
nadeau2020,10.1093/jas/skaa278.672,PSXI-4 Beauveria bassiana to control the mealworm Alphitobius diaperinus in chicken barns,2020,Nadeau,sqlite:99-excluded
otieno2016,10.1111/jen.12242,The combined effect of soil‐applied azadirachtin with entomopathogens for integrated management of western flower thrips,2016,Otieno,sqlite:99-excluded
scovero2025,10.1016/j.biocontrol.2025.105832,Effects of tomato treatments with commercial formulations of entomopathogenic fungi on the pest Tuta absoluta and the predator Macrolophus pygmaeus,2025,Scovero,sqlite:99-excluded
szczepańska2020,10.1007/s00436-020-06805-1,"Sensitivity of Ixodes ricinus (L., 1758) and Dermacentor reticulatus (Fabr., 1794) ticks to entomopathogenic fungi isolates: preliminary study",2020,Szczepańska,sqlite:99-excluded
thomidis2024,10.3390/insects15090720,Sustainable Management of Tetranychus urticae and Trialeurodes vaporariorum on Tomato and Cucumber Plants Using Rhamnolipids and Essential Oil-Based Biocontrol Agents,2024,Thomidis,sqlite:99-excluded
alkhoury2021,10.3390/jof7110924,Bioexploration and Phylogenetic Placement of Entomopathogenic Fungi of the Genus Beauveria in Soils of Lebanon Cedar Forests,2021,Al Khoury,sqlite:99-excluded
dyczko2024,10.3390/insects15050341,Entomopathogenic Fungi in Forest Habitats of Ixodes ricinus,2024,Dyczko,sqlite:99-excluded
garrido-jurado2011,10.1016/j.biocontrol.2011.07.001,Effects of soil treatments with entomopathogenic fungi on soil dwelling non-target arthropods at a commercial olive orchard,2011,Garrido-Jurado,sqlite:99-excluded
hajjar2021,10.4001/003.029.0611,"Integration of Repellency Effect of Neem-Based Insecticide and Pheromone Bio-Trap® with Beauveria bassiana (Hypocreales: Cordycipitaceae) to Control the Red Palm Weevil, Rhynchophorus ferrugineus (Olivier) (Coleoptera: Curculionidae)",2021,Hajjar,sqlite:99-excluded
hallouti2020,10.21203/rs.3.rs-29914/v3,Diversity of entomopathogenic fungi associated with Mediterranean fruit fly (Ceratitis capitata (Diptera: Tephritidae)) in Moroccan Argan forests and nearby area: impact of soil factors on their distribution&nbsp;,2020,Hallouti,sqlite:99-excluded
konopická2024,10.1093/jambio/lxae213,Isolation and identification of entomopathogenic fungi strains for Colorado potato beetle ( <i>Leptinotarsa decemlineata</i> ) control,2024,Konopická,sqlite:99-excluded
mantzoukas2021,10.3390/jof7020142,Beauveria bassiana Endophytic Strain as Plant Growth Promoter: The Case of the Grape Vine Vitis vinifera,2021,Mantzoukas,sqlite:99-excluded
masoudi2020,10.3389/fmicb.2020.01133,Meta-Analysis and Evaluation by Insect-Mediated Baiting Reveal Different Patterns of Hypocrealean Entomopathogenic Fungi in the Soils From Two Regions of China,2020,Masoudi,sqlite:99-excluded
moreira2019,10.1002/ece3.5598,Agroforestry coffee soils increase the insect‐suppressive potential offered by entomopathogenic fungi over full‐sun soils: A case proposing a “bait survival technique”,2019,Moreira,sqlite:99-excluded
mwikali2024,10.1016/j.biocontrol.2024.105642,Formulation and bio-efficacy of different isolates of Beauveria bassiana against adults and third nymphal instar of desert locust (Schistocerca gregaria Forskål),2024,Mwikali,sqlite:99-excluded
sánchez-peña2011,10.1673/031.011.0101,"Occurrence of Entomopathogenic Fungi from Agricultural and Natural Ecosystems in Saltillo, México, and their Virulence Towards Thrips and Whiteflies",2011,Sánchez-Peña,sqlite:99-excluded
sharma2018,10.3897/mycokeys.38.26970,Entomopathogenic fungi in Portuguese vineyards soils: suggesting a ‘Galleria-Tenebrio-bait method’ as bait-insects Galleria and Tenebrio significantly underestimate the respective recoveries of Metarhizium (robertsii) and Beauveria (bassiana),2018,Sharma,sqlite:99-excluded
sullivan2023,10.1002/ps.7556,Evaluation of a guardian plant system to suppress <i>Frankliniella occidentalis</i> (Thysanoptera: Thripidae) in greenhouse ornamentals,2023,Sullivan,sqlite:99-excluded
tinzaara2007,10.1080/09583150600937089,The use of aggregation pheromone to enhance dissemination of <i>Beauveria bassiana</i> for the control of the banana weevil in Uganda,2007,Tinzaara,sqlite:99-excluded
tito2025,10.21203/rs.3.rs-7965828/v1,Integrated management of Tuta absoluta in tomato cultivation in southern Angola: a sustainable approach,2025,Tito,sqlite:99-excluded
vakula2025,10.1016/j.biocontrol.2025.105740,"Selection, application, and pathogenicity of naturally occurring Beauveria bassiana strains against Ips duplicatus (Coleoptera: Curculionidae, Scolytinae)",2025,Vakula,sqlite:99-excluded
biryol2021,10.1111/eea.13035,"Biodiversity and pathogenicity of entomopathogenic fungi associated with the lesser spruce sawfly, <i>Pristiphora abietina</i>",2021,Biryol,sqlite:99-excluded
buckner2017,10.2987/17-6642r.1,"Evaluating the Vector Control Potential of the In2Care® Mosquito Trap Against <i>Aedes aegypti</i> and <i>Aedes albopictus</i> Under Semifield Conditions in Manatee County, Florida",2017,Buckner,sqlite:99-excluded
