record_index,accession_number,title,publication_year,authors,doi,urls,secondary_title,screening_category,screening_categories_all,tags,inclusion_reason,source_wave,agent_confidence,qa_status,prior_asreview_label,abstract,article_link,abstract_missing,abstract_join_method
5004,rayyan-628424143,A New Isolate Beauveria bassiana GxABT-1: Efficacy against Myzus persicae and Promising Impact on the Beet Mild Yellow Virus-Aphid Association.,2024,Dessauvages K;Scheifler M;Francis F;Ben Fekih I,10.3390/insects15090697,https://pubmed.ncbi.nlm.nih.gov/39336665/,Insects,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Within the context of ecofriendly alternatives to neonicotinoids, we explored the direct and endophytic potential of two Beauveria bassiana isolates, GHA from BotaniGard and the new endemic isolate GxABT-1, against the Sugar Beet Mild Yellow Virus (BMYV)-Myzus persicae pathosystem. A mortality rate of 96 and 91% was registered after 8 days of treatment with GHA and Gx-ABT-1, respectively. To assess the endophytic impact, sugar beet seeds were treated, and the ability of the fungi to colonize the plant was assessed and correlated with the aphids' (1) life cycle, (2) attraction towards the plants, and (3) ability to transmit BMYV. Both fungi colonized the plants, and the GxABT-1 isolate impaired the aphids' life cycle. Myzus persicae were more attracted to leaf discs from non-treated plants than to the fungal-treated ones. Interestingly, when the choice test dealt only with the fungal treatments, aphids were more attracted to leaves from plants harboring Gx-ABT-1 than those with GHA. Moreover, no significant impact was observed for BMYV transmission despite the slight decrease in the viral load in GxABT-1 isolate-treated plants. Our findings constitute a baseline to delve more into the performance of the new endemic isolate B. bassiana in other pathosystems using different treatment methods.",https://doi.org/10.3390/insects15090697,0,doi
5017,rayyan-628424174,Activity of Metarhizium brunneum and Beauveria bassiana against early developmental stages of the false codling moth Thaumatotibia leucotreta.,2020,Mondaca LL;Da-Costa N;Protasov A;Ben-Yehuda S;Peisahovich A;Mendel Z;Ment D,10.1016/j.jip.2019.107312,https://pubmed.ncbi.nlm.nih.gov/31870852/,Journal of invertebrate pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"This study evaluated the efficacy of two entomopathogenic Hypocrealean fungi, Metarhizium brunneum (laboratory isolate) and Beauveria bassiana (the commercial product Botanigard), for preventative control of the false codling moth, Thaumatotibia leucotreta. The mortality of eggs and first instar larvae was studied in three different assays. First, fungal virulence was examined under optimal laboratory conditions (25 C, 85% RH) by placing T. leucotreta eggs on conidia-impregnated filter paper. One-day-old eggs and first instar larvae were susceptible to both fungi. In contrast, 5-day-old eggs (advanced embryo development) were susceptible to M. brunneum, but not to B. bassiana. The activity of both fungi against eggs was assessed under two humidity regimes: 85% RH-optimal for fungal germination, and 60% RH-the average humidity in the laboratory. Pieces of parchment paper serving as oviposition surfaces were treated with each of the fungi and introduced to gravid females at different time points after inoculation (0, 2, 7 and 14 days). Although the tested fungal species differed in their virulence to T. leucotreta eggs, both reduced hatching rate under both humidity regimes to 8.3-58.3%, compared to 71.7-83.3% in the control treatments. To evaluate reduction of T. leucotreta infestation of fruit, 'Ori' citrus fruit (easy peeler Citrus sinensis) were treated with each of the fungi. Eggs were placed on the fruit peels and the fruit were maintained under room conditions (25 C,",https://doi.org/10.1016/j.jip.2019.107312,0,doi
1141,rayyan-628419856,Application of an entomopathogenic fungus (Beauveria bassiana) increases potato nematodes reproduction and potato tubers damage caused by Ditylenchus destructor and D. dipsaci,2017,"Mwaura, Peter;Niere, Bjorn;Vidal, Stefan",10.1016/j.biocontrol.2017.08.012,"[""http://europepmc.org/abstract/AGR/IND605825896"", ""https://doi.org/10.1016/j.biocontrol.2017.08.012""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Two greenhouse experiments were conducted to investigate the influence of Beauveria bassiana inoculated in the soil together with potato tuber rot nematode (Ditylenchus destructor) and stem and bulb nematode (Ditylenchus dipsaci). Data on nematode reproduction and consequently damage caused on potato tubers by these nematodes was investigated. In both experiments, the growing medium was inoculated with B. bassiana singly or in combination with D. destructor or D. dipsaci. B. bassiana alone did not negatively influence potato growth or tuber development. However, when B. bassiana was inoculated together with nematodes, higher nematode reproduction and tuber damage was observed at the end of the experiments. Tuber numbers and above ground fresh weight were not influenced by nematodes or a combination of B. bassiana and nematodes. Tuber weight was significantly reduced when nematodes were present together with B. bassiana. Although B. bassiana is an effective bio-control agent against some Meloidogyne spp., the application B. bassiana strain Naturalis in the presence of D. destructor and D. dipsaci might result in a detrimental interaction leading to higher nematode population densities and higher potato tuber damage.",https://doi.org/10.1016/j.biocontrol.2017.08.012,0,doi
501,rayyan-628415943,"Applications of Beauveria bassiana (Hypocreales: Cordycipitaceae) to Control Populations of Spotted Lanternfly (Hemiptera: Fulgoridae), in Semi-Natural Landscapes and on Grapevines",2020,"Clifton, Eric H;Hajek, Ann E;Jenkins, Nina E;Roush, Richard T;Rost, John P;Biddinger, David J",10.1093/ee/nvaa064,https://app.dimensions.ai/details/publication/pub.1127525982,Environmental Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Spotted lanternfly, Lycorma delicatula (White), is an invasive Asian insect that was initially found in Berks County, Pennsylvania, in 2014. As of early 2020, this pest had been found in five more eastern states and it is expected to continue to expand its geographical range. Lycorma delicatula is highly polyphagous but seems to prefer tree-of-heaven, Ailanthus altissima. However, grape growers in Pennsylvania have reported significant damage and loss of vines caused by L. delicatula adults. In fall 2018, two fungal entomopathogens (Beauveria bassiana and Batkoa major) drove localized collapses in L. delicatula populations in Berks County, Pennsylvania. In 2019, we tested applications of a commercialized mycoinsecticide based on B. bassiana strain GHA on L. delicatula populations in a public park in southeastern Pennsylvania. A single application of B. bassiana reduced fourth instar nymphs by 48% after 14 d. Applications of B. bassiana to L. delicatula adults in the same park resulted in 43% mortality after 14 d. Beauveria bassiana spores remained viable on foliage for 5-7 d after spraying. We also conducted semi-field bioassays with B. bassiana GHA (formulated as BoteGHA and Aprehend) and another mycoinsecticide containing Isaria fumosorosea Apopka Strain 97 against L. delicatula adults feeding on potted grapes. All the mycoinsecticides killed 90% of adults after 9 d using direct applications. Aprehend killed 99% of adults after 9 d with exposure to residues on sprayed grap",https://doi.org/10.1093/ee/nvaa064,0,doi
4963,rayyan-628424052,Biocontrol of invasive pheretimoid earthworms using Beauveria bassiana.,2021,Nouri-Aiin M;Gorres JH,10.7717/peerj.11101,https://pubmed.ncbi.nlm.nih.gov/33868811/,PeerJ,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"BACKGROUND: Invasive species cause enormous costs of over $120 billion to the U.S. economy. Among biological invasions, the invasion by pheretimoid earthworms has gone relatively unnoticed and their invasion imposes yet unknown damage on USA agriculture and horticulture. The main dispersal is with horticultural goods such as plant material and composts. Pheretimoids affect commercially important hardwood forest. With no chemical agents currently certified for earthworm control nor any best horticultural practices, slowing the invasion is difficult. METHODS: In this study we measured the efficacy of a commercial entomopathogenic fungal isolate of B. bassiana (BotaniGard((R))) to kill pheretimoid earthworms under greenhouse conditions. Four treatments of B. bassiana were applied: The commercial product as per label, re-cultured commercial B. bassiana, 15 g and 25 g millet grains mycotized with recultured product. In all, three bioassays were conducted in 2 consecutive years with two batches of BotaniGard((R)). RESULTS: With fresh batches, all B. bassiana treatments with re-cultured product resulted in greater than 70% mortality within 4 weeks. Mortality was less than 60% when BotaniGard((R)) was used as prescribed by the label. When using 1-year old spores (refrigerated at 4 C), mortality rates for B. bassiana treatments were less than 20% and not significantly different from the controls. However, B. bassiana still affected the earthworms by slowing their development from juvenile",https://doi.org/10.7717/peerj.11101,0,doi
2081,rayyan-628420887,Biocontrol of strawberry fruit infected by Botrytis cinerea: Effects on the microbial communities on fruit assessed by next-generation sequencing,2018,"Cruz, Andre Freire;Barka, Geleta Dugassa;Sylla, Justine;Reineke, Annette",10.1111/jph.12700,"[""http://europepmc.org/abstract/AGR/IND605939303"", ""https://doi.org/10.1111/jph.12700""]",Journal of Phytopathology.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Fruit grey mould, caused by the fungus Botrytis cinerea, is known to be a harmful disease of strawberry at postharvest stage. However, effects of an application of biological control agents (BCAs) on strawberry fruit in terms of shift in the microbial community are still unknown. The present research aimed to investigate the effects of an application of BCAs on postharvest microbial populations present on strawberry fruits. Strawberry plants were sprayed with three kinds of BCA, RhizoVital 42 fl. (Bacillus amyloliquefaciens FZB42), Trianum-P (Trichoderma harzianum T22) and Naturalis (Beauveria bassiana ATCC 74040), targeting Botrytis cinerea fungus. Control plots were composed of water and fungicide treatments. Microbial communities (bacteria and fungi) were analysed via next-generation sequencing on an Illumina MiSeq. Analysis of 16S RNA and ITS rRNA sequences indicated that the BCAs application modified both bacterial and fungal community compositions and diversity. An application of two BCAs together had more effects on microbial community composition than a single application. These results suggest that BCAs can modify bacterial and fungal community composition and diversity on strawberry fruits, which may consequently improve the efficiency and establishment of these products on control of postharvest diseases of fruits, such as grey mould.",https://doi.org/10.1111/jph.12700,0,doi
5031,rayyan-628424226,"Biological control of Western flower thrips, Frankliniella occidentalis using a self-sustaining granular fungal treatment.",2021,Davari A;Parker BL;Sullivan CF;Ghalehgolabbehbahani A;Skinner M,10.1017/S0007485321000365,https://pubmed.ncbi.nlm.nih.gov/34134799/,Bulletin of entomological research,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"Western flower thrips (WFT), Frankliniella occidentalis, is one of the most destructive pests of vegetables, fruits and ornamental crops worldwide, causing extensive damage by direct feeding of the crop and transmitting economically important viruses. Despite the successes of biocontrol agents to control WFT, more efficient and cost-effective ways must be found to encourage grower adoption of integrated pest management. A sustainable fungal treatment was developed to preserve fungal inoculum in potting soil and reduce thrips populations. Combining cooked, oven-dried millet with BotaniGard((R)) (a commercial form of Beauveria bassiana strain GHA) to potting soil increased spore production and persistence of the fungus in the soil. In treated pots with millet, spore concentrations were 3-4 times greater after 30 days compared with spore yields at 10 days. The number of WFT adults was significantly lower in the marigold pots treated with GHA mix + millet than untreated controls, 12% and 10% in treated pots and 70% and 68% in untreated pots in sterile and non-sterile soil, respectively. Incorporation of millet in the potting mix enhanced the effect of the fungal treatments by providing a nutritive substrate on which the fungus could become established. This method is relatively inexpensive and easy for growers to use in greenhouses because granular formulations of B. bassiana are not commercially available.",https://doi.org/10.1017/S0007485321000365,0,doi
3719,rayyan-628422650,Biological control of greenhouse whitefly (Trialeurodes vaporariorum) with fungal insecticides,2003,"Siongers, C;Coosemans, J",,http://europepmc.org/abstract/MED/15149114,Communications in agricultural and applied biological sciences,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The influence of the biological insecticide Botanigard (Beauveria bassiana) on different developmental stages of the greenhouse whitefly (Trialeurodes vaporariorum) has been tested and compared with the influence of Preferal (Paecilomyces fumosoroseus), also a biological product. Six experiments were set up to test the two products on eggs, which were four and seven days old, on larvae of the first, second/third and fourth stage and to test the effect on egg-deposition. These experiments were all conducted on cucumber. Egg-deposition was limited to a small area on the leaf by using leaf cages. To evaluate these tests the number of eggs or larvae developed to the next stage has been counted and compared to the total amount of eggs or larvae on the leaves. The results revealed that Botanigard has an effect on the larval stages. The first larval stage is most sensitive; the next stages have a decreasing sensitivity. There was no influence on the hatching of the eggs, but a treatment short before the hatching could have a residual effect on the new nymphs. When the treatment with Botanigard is performed shortly before a moult or a fungicide treatment, the efficacy of the product decreases significantly. The influence of Preferal on the greenhouse whitefly is, under the same circumstances, less obvious.",http://europepmc.org/abstract/MED/15149114,0,title
816,rayyan-628419511,"Biological control of the red flour beetle, Tribolium castaneum, using entomopathogenic fungi",2019,"Al-Zurfi, Sienaa Muslim Abid",,"[""http://europepmc.org/theses/ETH/820217"", ""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.820217""]",,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"In this project the factors influencing the efficacy of entomopathogenic fungi on Tribolium castaneum (Herbst.) were evaluated. Initially, the efficacy of commercial formulations of Beauveria bassiana (Naturalis-L), Metarhizium anisopliae (Met52) and Verticillium lecanii (Mycotal) was assessed with adults and different instar larvae of T. castaneum. Results showed that all fungi tested had a pathogenic impact on T. castaneum. Beauveria bassiana and M. anisopliae were more effective than V. lecanii at the concentrations tested. To investigate whether combining dsRNA with fungi would improve the performance against T. castaneum, low concentration fungal spore formulations of B. bassiana and M. anisopliae in combination with the dsRNA of the T. castaneum small conductance calcium-activated potassium channel protein (SK) and potassium voltage-gated channel protein Shaker (SH) genes were evaluated. The combined treatments (fungi and dsRNA) were more successful than fungi or dsRNA treatment alone. To assess the effects of quinones secreted by T. castaneum on infection by the fungi the effects of B. bassiana and M. anisopliae on T. castaneum adults were assessed with three different types of flour medium: fresh, ... (continues)",http://europepmc.org/theses/ETH/820217,0,title
1269,rayyan-628419994,"Biological response of chilli thrips, Scirtothrips dorsalis Hood (Thysanoptera: Thripidae), to various regimes of chemical and biorational insecticides",2010,"Seal, Dakshina R;Kumar, Vivek",10.1016/j.cropro.2010.07.011,"[""http://europepmc.org/abstract/AGR/IND44425198"", ""https://doi.org/10.1016/j.cropro.2010.07.011""]",Crop Protection,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,,"The chilli thrips Scirtothrips dorsalis (Hood) (Thysanoptera: Thripidae), a new invasive pest in the USA, is an economically important pest of certain vegetable, ornamental and fruit crops in southern and eastern Asia, Oceania and parts of Africa. These crops cannot be protected from the pest without resorting to the use of chemical insecticides. In order to forestall or delay the development of insecticide resistance in S. dorsalis, we continued our focus on the discovery of insecticides with different modes of action for rotational use. In this study we evaluated candidate insecticides to control S. dorsalis on 'Jalapeno' pepper, Capsicum annuum L.; these materials belong to different IRAC mode of action classes as follows: (i) 4A - neonicotinoids, i.e., imidacloprid, thiamethoxam and dinotefuran, (ii) 5 - spinosyns, i.e., spinosad and spinetoram, (iii) 3A - pyrethroids, i.e., -cyfluthrin, esfenvalerate, -cypermethrin and -cyhalothrin and (iv) 8D - borax mixed together with orange oil and detergents in the TriCon(R) formulation. In addition we evaluated the entomopathogenic fungus, Beauveria bassiana (Botanigard(R)) alone and in combination with the borax formulation at 12 of their usual rates of application. Each of the 3 neonicotinoid insecticides when applied either as a single foliar spray or as a soil drench significantly suppressed both adults and larvae for at least 10 days; indeed imidacloprid did so for 15 days. Dinotefuran was more effective as a foliar spray than a",https://doi.org/10.1016/j.cropro.2010.07.011,0,doi
